trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
10053002,08:00:00,08:00:00,1397596,0,1
10053002,08:03:00,08:03:00,1353924,1,1
10053002,08:05:00,08:05:00,1353925,2,1
10053002,08:20:00,08:20:00,1353927,3,1
10053002,08:24:00,08:24:00,1353928,4,1
10053002,08:31:00,08:31:00,1353929,5,1
10053002,08:40:00,08:40:00,3600594,6,1
10053002,08:50:00,08:50:00,1353931,7,1
