service_id,date,exception_type
69958,20180903,2
69958,20181112,2
69958,20181122,2
69958,20181123,2
69958,20181224,2
69958,20181225,2
69958,20181226,2
69958,20190101,2
69958,20190121,2
69958,20190419,2
69958,20190527,2
69958,20190704,2
69958,20190902,2
69958,20191111,2
69958,20191128,2
69958,20191224,2
69958,20191225,2
69958,20191226,2
69958,20200101,2
69958,20200120,2
69958,20200410,2
69958,20200525,2
69958,20200704,2
69958,20200907,2
69958,20201111,2
69958,20201126,2
69958,20201224,2
69958,20201225,2
69958,20210101,2
69958,20210118,2
69958,20210402,2
69958,20210531,2
