shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1.1,35.09531,-84.02563,186
1.1,35.09541,-84.02541,187
1.1,35.09547,-84.02528,188
1.1,35.09551,-84.02516,189
1.1,35.09566,-84.02477,190
1.1,35.09566,-84.02476,191
1.1,35.09573,-84.02456,192
1.1,35.09581,-84.02436,193
1.1,35.09601,-84.02384,194
1.1,35.09607,-84.02367,195
1.1,35.09612,-84.02354,196
1.1,35.0962,-84.02335,197
1.1,35.09623,-84.02328,198
1.1,35.09626,-84.02321,199
1.1,35.09632,-84.02312,200
1.1,35.09637,-84.02306,201
1.1,35.09642,-84.02301,202
1.1,35.09646,-84.02297,203
1.1,35.09652,-84.02292,204
1.1,35.09663,-84.02284,205
1.1,35.09722,-84.02245,206
1.1,35.09742,-84.02233,207
1.1,35.09758,-84.02223,208
1.1,35.09774,-84.02213,209
1.1,35.09792,-84.02202,210
1.1,35.09796,-84.022,211
1.1,35.0984,-84.02171,212
1.1,35.09951,-84.02099,213
1.1,35.09983,-84.02079,214
1.1,35.09985,-84.02078,215
1.1,35.1003,-84.0205,216
1.1,35.10064,-84.0203,217
1.1,35.10101,-84.02003,218
1.1,35.10146,-84.01973,219
1.1,35.10178,-84.01944,220
1.1,35.10203,-84.01915,221
1.1,35.10231,-84.01873,222
1.1,35.10242,-84.01854,223
1.1,35.10275,-84.01803,224
1.1,35.1032,-84.01734,225
1.1,35.10345,-84.01694,226
1.1,35.10388,-84.01628,227
1.1,35.10459,-84.01517,228
1.1,35.10482,-84.01482,229
1.1,35.10487,-84.01474,230
1.1,35.10515,-84.01431,231
1.1,35.10535,-84.01399,232
1.1,35.10557,-84.01364,233
1.1,35.10568,-84.01347,234
1.1,35.10605,-84.01286,235
1.1,35.10617,-84.01272,236
1.1,35.10626,-84.01262,237
1.1,35.10645,-84.01242,238
1.1,35.10721,-84.01162,239
1.1,35.10727,-84.01156,240
1.1,35.10747,-84.01134,241
1.1,35.10754,-84.01127,242
1.1,35.1076,-84.01121,243
1.1,35.10774,-84.01105,244
1.1,35.10788,-84.01092,245
1.1,35.10803,-84.01078,246
1.1,35.10816,-84.01065,247
1.1,35.10842,-84.0104,248
1.1,35.10879,-84.01002,249
1.1,35.10907,-84.00973,250
1.1,35.10927,-84.00953,251
1.1,35.10945,-84.00934,252
1.1,35.10972,-84.00905,253
1.1,35.10983,-84.00894,254
1.1,35.10967,-84.00837,255
1.1,35.10965,-84.0083,256
1.1,35.10951,-84.00781,257
1.1,35.10946,-84.00761,258
1.1,35.10943,-84.00749,259
1.1,35.10941,-84.00742,260
1.1,35.10938,-84.00738,261
1.1,35.10937,-84.00736,262
1.1,35.10935,-84.00734,263
1.1,35.10931,-84.00731,264
1.1,35.10928,-84.00729,265
1.1,35.10923,-84.00729,266
1.1,35.10919,-84.00729,267
1.1,35.10915,-84.0073,268
1.1,35.1091,-84.00731,269
1.1,35.10906,-84.00733,270
1.1,35.10898,-84.00737,271
1.1,35.10897,-84.00737,272
1.1,35.10882,-84.00745,273
1.1,35.10841,-84.00767,274
1.1,35.10835,-84.00771,275
1.1,35.10832,-84.00772,276
1.1,35.10829,-84.00772,277
1.1,35.10825,-84.00773,278
1.1,35.10824,-84.00772,279
1.1,35.10824,-84.00771,280
1.1,35.10823,-84.0077,281
1.1,35.10822,-84.00768,282
1.1,35.10821,-84.00766,283
1.1,35.10821,-84.00764,284
1.1,35.1082,-84.00763,285
1.1,35.1082,-84.00761,286
1.1,35.10819,-84.00757,287
1.1,35.10816,-84.00742,288
1.1,35.10815,-84.00731,289
1.1,35.10822,-84.00729,290
1.1,35.10823,-84.00729,291
