service_id,date,exception_type
114467,20240902,2
114467,20241111,2
114467,20241128,2
114467,20241129,2
114467,20241224,2
114467,20241225,2
114467,20250101,2
114467,20250120,2
114467,20250418,2
114467,20250526,2
114467,20250704,2
114467,20250901,2
114467,20251111,2
114467,20251127,2
114467,20251128,2
114467,20251224,2
114467,20251225,2
114467,20260101,2
114467,20260119,2
114467,20260403,2
114467,20260525,2
114467,20260704,2
114467,20260907,2
114467,20261111,2
114467,20261126,2
114467,20261127,2
114467,20261224,2
114467,20261225,2
114467,20270101,2
114467,20270118,2
114467,20270326,2
114467,20270531,2
114467,20270704,2
114467,20270906,2
114467,20271111,2
114467,20271125,2
114467,20271126,2
114467,20271224,2
114467,20271225,2
114467,20280101,2
114467,20280117,2
114467,20280414,2
114467,20280529,2
114467,20280704,2
114467,20280904,2
114467,20281110,2
114467,20281123,2
114467,20281124,2
114467,20281224,2
114467,20281225,2
114467,20290101,2
114467,20290115,2
114467,20290330,2
114467,20290528,2
114467,20290704,2
