route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,mtwtfs,Rt1_WestHKY_T01,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T02,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T03,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T04,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T05,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T06,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T07,,0,,Yellow,1,1
1,mtwtfs,Rt1_WestHKY_T08,,0,,Yellow,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T01,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T02,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T03,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T04,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T05,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T06,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T07,,0,,Blue,1,1
2,mtwtfs,Rt2_HWY127_SpringsRd_T08,,0,,Blue,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T01,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T02,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T03,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T04,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T05,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T06,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T07,,0,,Red3,1,1
3,mtwtfs,Rt3_HKY_Conover_Newton_T08,,0,,Red3,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T01,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T02,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T03,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T04,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T05,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T06,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T07,,0,,Red4,1,1
4,mtwtfs,Rt4_Newton_Conover_HKY_T08,,0,,Red4,1,1
5,mtwtfs,Rt5_HKY_HWY70_Conover_T01,,0,,Green5,1,1
5,mtwtfs,Rt5_HKY_HWY70_Conover_T02,,0,,Green5,1,1
5,mtwtfs,Rt5_HKY_HWY70_Conover_T03,,0,,Green5,1,1
5,mtwtfs,Rt5_HKY_HWY70_Conover_T04,,0,,Green5,1,1
6,mtwtfs,Rt6_Conover_HWY70_HKY_T01,,0,,Green6,1,1
6,mtwtfs,Rt6_Conover_HWY70_HKY_T02,,0,,Green6,1,1
6,mtwtfs,Rt6_Conover_HWY70_HKY_T03,,0,,Green6,1,1
