trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_eastbound_T07,08:47:47,08:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T07,08:48:26,08:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T07,09:15:00,09:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T08,09:15:00,09:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T08,09:15:57,09:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T08,09:17:00,09:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T08,09:17:47,09:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T08,09:18:26,09:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T08,09:45:00,09:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T09,10:15:00,10:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T09,10:15:57,10:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T09,10:17:00,10:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T09,10:17:47,10:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T09,10:18:26,10:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T09,10:45:00,10:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T10,11:15:00,11:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T10,11:15:57,11:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T10,11:17:00,11:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T10,11:17:47,11:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T10,11:18:26,11:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T10,11:45:00,11:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T11,12:15:00,12:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T11,12:15:57,12:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T11,12:17:00,12:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T11,12:17:47,12:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T11,12:18:26,12:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T11,12:45:00,12:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T12,13:15:00,13:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T12,13:15:57,13:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_T12,13:17:00,13:17:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_T12,13:17:47,13:17:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_T12,13:18:26,13:18:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_T12,13:45:00,13:45:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_T13,14:15:00,14:15:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_T13,14:15:57,14:15:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
