route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,MF,2_GB_westbound_T08,Coble Transportation Center,0,202,2GBtoCTC,1,1
2,MF,2_GB_westbound_T09,Coble Transportation Center,0,202,2GBtoCTC,1,1
2,MF,2_GB_westbound_T10,Coble Transportation Center,0,202,2GBtoCTC,1,1
2,MF,2_GB_westbound_T11,Coble Transportation Center,0,202,2GBtoCTC,1,1
2,MF,2_GB_westbound_T12,Coble Transportation Center,0,202,2GBtoCTC,1,1
2,MF,2_GB_westbound_T13,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_westbound_T14,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_westbound_T15,Coble Transportation Center,0,204,2GBtoCTC,1,1
2,MF,2_GB_westbound_T16,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_westbound_T17,Coble Transportation Center,0,204,2GBtoCTC,1,1
2,MF,2_GB_westbound_T18,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_westbound_T19,Coble Transportation Center,0,204,2GBtoCTC,1,1
2,MF,2_GB_westbound_T20,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_westbound_T21,Coble Transportation Center,0,204,2GBtoCTC,1,1
2,MF,2_GB_westbound_T22,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_westbound_T23,Coble Transportation Center,0,203,2GBtoCTC,1,1
2,MF,2_GB_eastbound_T01,Greensboro Depot,1,201,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T02,Greensboro Depot,1,202,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T03,Greensboro Depot,1,201,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T04,Greensboro Depot,1,202,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T05,Greensboro Depot,1,201,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T06,Greensboro Depot,1,202,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T07,Greensboro Depot,1,201,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T08,Greensboro Depot,1,202,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T09,Greensboro Depot,1,202,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T10,Greensboro Depot,1,202,2CTCtoGB,1,1
2,MF,2_GB_eastbound_T11,Greensboro Depot,1,202,2CTCtoGB,1,1
