trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4152070,1,2,"DOWNTOWN",,1,0041,shp-1-01,0,0
8913020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
6820020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
1500020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
2010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
5799070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
2860020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
5830050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
8749050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
606020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
5572020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
7884070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
4467050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
7130070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
6601010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
3104010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
3253020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
4680010,1,3,"DOWNTOWN",,1,0063,shp-1-01,0,0
1225010,1,3,"DOWNTOWN",,1,0019,shp-1-01,0,0
2896010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
1637020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
5966020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
8550050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
5631070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
1983020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
1039020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
3678070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
7852050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
876010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
2508020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
3878020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
9323020,1,4,"DOWNTOWN",,1,0083,shp-1-01,0,0
3894050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
841070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
6860050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
3426070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
3526020,1,4,"DOWNTOWN",,1,0074,shp-1-01,0,0
5444020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
1789050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
7028020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
8945020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
8318050,1,1,"DOWNTOWN",,1,0007,shp-1-01,0,0
9187020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
3084050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
1163020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
5486010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
3109010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
6303070,1,2,"DOWNTOWN",,1,0019,shp-1-01,0,0
7927020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
5745050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
3002050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
8181070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
8592010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
2005070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
4828050,1,1,"DOWNTOWN",,1,0030,shp-1-01,0,0
7239010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
8952020,1,4,"DOWNTOWN",,1,0030,shp-1-01,0,0
5181070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
4002070,1,2,"DOWNTOWN",,1,0025,shp-1-01,0,0
3900020,1,4,"DOWNTOWN",,1,0002,shp-1-01,0,0
1504050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
9304050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
2675050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
5962010,1,3,"DOWNTOWN",,1,0014,shp-1-01,0,0
3159050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
7915010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
5941010,1,3,"DOWNTOWN",,1,0033,shp-1-01,0,0
602050,1,1,"DOWNTOWN",,1,0002,shp-1-01,0,0
3531050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
8076070,1,2,"DOWNTOWN",,1,0036,shp-1-01,0,0
9109050,1,1,"DOWNTOWN",,1,0083,shp-1-01,0,0
6328010,1,3,"DOWNTOWN",,1,0052,shp-1-01,0,0
1221050,1,1,"DOWNTOWN",,1,0074,shp-1-01,0,0
436070,1,2,"DOWNTOWN",,1,0007,shp-1-01,0,0
6966050,1,1,"DOWNTOWN",,1,0062,shp-1-01,0,0
8595020,1,4,"DOWNTOWN",,1,0007,shp-1-01,0,0
5245020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
9352020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
4931020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
254050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
6777020,1,4,"DOWNTOWN",,1,0010,shp-1-01,0,0
3393050,1,1,"DOWNTOWN",,1,0010,shp-1-01,0,0
2300020,1,4,"DOWNTOWN",,1,0062,shp-1-01,0,0
