stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
151,8025,"Capital Blvd At Calvary Dr",,35.845300,-78.579820,,,,,,0
152,8026,"Capital Blvd at New Hope Rd",,35.850630,-78.580410,,,,,,0
153,8027,"Capital Blvd at Spring Forest Rd (south side)",,35.853620,-78.580690,,,,,,0
154,8028,"Poole Rd at Old Poole Rd (WB)",,35.763080,-78.555960,,,,,,0
155,8029,"Capital Blvd at Oak Forest Dr (NB)",,35.861696,-78.581597,,,,,,0
156,8030,"Triangle Town Center Mall at Orvis (Park and Ride)",,35.863746,-78.576637,,,,,,0
157,8031,"Poole Rd at Old Poole Rd (EB)",,35.762450,-78.555570,,,,,,0
158,8032,"Triangle Town Center Mall at Barnes and Noble",,35.865880,-78.576530,,,,,,0
159,8033,"Capital Blvd at Sumner Blvd (SB)",,35.865597,-78.582402,,,,,,0
160,8034,"Capital Blvd at Oak Forest Dr (SB)",,35.860742,-78.581924,,,,,,0
161,8035,"Capital Blvd at Spring Forest Rd (SB)",,35.853399,-78.581127,,,,,,0
162,8036,"Capital Blvd at Millbrook Rd",,35.849060,-78.580702,,,,,,0
163,8037,"Capital Blvd at Sumner Blvd (NB)",,35.865702,-78.581940,,,,,,0
164,8038,"Capital Blvd At Calvary Dr",,35.843724,-78.580113,,,,,,0
165,8039,"Capital Blvd at Deana Dr",,35.837750,-78.581040,,,,,,0
166,8040,"Capital Blvd at New Hope Church Rd",,35.834180,-78.583290,,,,,,0
167,8041,"Capital Blvd at Greywood Dr (SB)",,35.832340,-78.584360,,,,,,0
168,8042,"Capital Blvd at Old Buffaloe Rd (SB)",,35.827587,-78.585933,,,,,,0
169,8043,"Capital Blvd at Mayflower Dr",,35.825210,-78.586960,,,,,,0
170,8044,"Capital Blvd at Huntleigh Dr",,35.820870,-78.592010,,,,,,0
171,8045,"Capital Blvd at Brentwood Rd (SB)",,35.818687,-78.596864,,,,,,0
173,8047,"Capital Blvd at Hodges St (SB)",,35.810800,-78.612367,,,,,,0
174,8048,"Capital Blvd at Crabtree Blvd (SB)",,35.806917,-78.616121,,,,,,0
176,8050,"Barwell Rd at Charles St (NB)",,35.752480,-78.535250,,,,,,0
177,8051,"Wake Forest Rd at Brookside Dr",,35.800177,-78.625555,,,,,,0
178,8052,"Barwell Rd at Charles St (SB)",,35.752770,-78.535530,,,,,,0
180,8054,"Wake Forest Rd at Chestnut St",,35.796172,-78.630363,,,,,,0
181,8055,"Barwell Rd at Damon Ct",,35.745422,-78.536453,,,,,,0
182,8056,"Cedar St at Haynes St",,35.794200,-78.637090,,,,,,0
183,8057,"Lafayette Village",,35.895540,-78.620700,,,,,,0
184,8058,"Salisbury St at Parking Deck",,35.787054,-78.639666,,,,,,0
185,8059,"Salisbury St at Lane St",,35.785107,-78.639975,,,,,,0
186,8060,"Barwell Rd at Chatmoss Dr",,35.744876,-78.537812,,,,,,0
187,8061,"Salisbury St at W Jones St",,35.793220,-78.638323,,,,,,0
188,8062,"Salisbury St at W Edenton St",,35.781580,-78.640078,,,,,,0
189,8063,"Salisbury St at W Morgan St",,35.779922,-78.640177,,,,,,0
190,8064,"W Morgan St at Mayo St OB",,35.779908,-78.653943,,,,,,0
191,8065,"Gorman St at Burt Dr",,35.776931,-78.687845,,,,,,0
192,8066,"Gorman St at Marcom S",,35.779130,-78.687110,,,,,,0
194,8070,"W Edenton St at S McDowell St",,35.781373,-78.642213,,,,,,0
195,8071,"W Edenton St at S Harrington St",,35.781471,-78.644369,,,,,,0
196,8072,"Glenwood Ave at Hillsborough St",,35.781230,-78.647430,,,,,,0
197,8073,"Blue Ridge Rd at Rex Way",,35.819727,-78.704713,,,,,,0
198,8074,"Glenwood Ave at W Lane St",,35.784219,-78.647379,,,,,,0
199,8075,"Glenwood Ave at Tucker St",,35.786660,-78.647200,,,,,,0
200,8076,"Blue Ridge Rd at Macon Pond Rd",,35.819593,-78.704965,,,,,,0
201,8077,"Glenwood Ave at Devereux St",,35.789870,-78.647010,,,,,,0
203,8079,"Glenwood Ave at Washington St (NB)",,35.792841,-78.646605,,,,,,0
205,8081,"Glenwood Ave at Cole St (NB)",,35.796708,-78.646244,,,,,,0
206,8082,"Glenwood Ave at Harvey St (NB)",,35.800467,-78.645989,,,,,,0
207,8083,"Blue Ridge Rd at Reedy Creek Rd (NC Museum of Art)",,35.810185,-78.705432,,,,,,0
208,8084,"Whitaker Mill Rd at Fairview Rd (EB)",,35.804272,-78.645064,,,,,,0
209,8085,"Whitaker Mill Rd at Sunset Dr (EB)",,35.805082,-78.642515,,,,,,0
210,8086,"Blue Ridge Rd at Reedy Creek Rd (SB)",,35.809357,-78.705754,,,,,,0
211,8087,"Blue Ridge Rd at District Dr (NB)",,35.806445,-78.706225,,,,,,0
212,8088,"Whitaker Mill Rd at Sunrise Ave (OB)",,35.806613,-78.638829,,,,,,0
213,8089,"Blue Ridge Rd at District Dr (SB)",,35.805760,-78.706689,,,,,,0
214,8090,"Whitaker Mill Rd at Pine Dr",,35.807569,-78.636293,,,,,,0
215,8091,"Barwell Rd at Berkeley Lake Rd",,35.740650,-78.542500,,,,,,0
216,8092,"Whitaker Mill Rd at Center Rd",,35.806584,-78.632507,,,,,,0
217,8093,"Barwell Rd at Neals Creek Dr",,35.740680,-78.542710,,,,,,0
218,8094,"Whitaker Mill Rd at Pershing Rd",,35.806915,-78.629233,,,,,,0
219,8095,"Whitaker Mill Rd at Hilton St",,35.807255,-78.626641,,,,,,0
220,8096,"Wake Forest Rd at Whitaker Mill Rd",,35.808067,-78.624829,,,,,,0
221,8097,"Wake Forest Rd at Mills St",,35.810392,-78.625637,,,,,,0
222,8099,"Wake Forest Rd at Hodges St (NB)",,35.815160,-78.626221,,,,,,0
223,8101,"Wake Forest Rd at Six Forks Rd (Costco)",,35.819435,-78.624020,,,,,,0
224,8102,"Barwell Rd at Barwell Park (NB)",,35.732290,-78.555140,,,,,,0
225,8103,"Wake Forest Rd at Wake Towne Dr (NB)",,35.822959,-78.622379,,,,,,0
226,8104,"Wake Forest Rd at Navaho Dr (NB)",,35.827581,-78.620088,,,,,,0
227,8105,"Barwell Rd at Barwell Park (SB)",,35.732560,-78.555190,,,,,,0
228,8106,"Poole Rd at Maybrook Dr (EB)",,35.760600,-78.552480,,,,,,0
229,8107,"Poole Rd at Hickory Hollow Ln",,35.760730,-78.552110,,,,,,0
230,8108,"Wake Forest Rd at Dresser Ct (NB)",,35.832802,-78.617153,,,,,,0
231,8109,"Poole Rd at River Knoll Dr (EB)",,35.757493,-78.545804,,,,,,0
232,8110,"Wake Forest Rd at New Hope Church Rd",,35.837342,-78.612987,,,,,,0
233,8111,"Wake Forest Rd at Ronald Dr",,35.839142,-78.611881,,,,,,0
234,8112,"Falls of Neuse Rd at Old Wake Forest Rd (NB)",,35.841508,-78.611817,,,,,,0
235,8113,"Falls of Neuse Rd at Pacific Dr",,35.842910,-78.612930,,,,,,0
236,8114,"Poole Rd at River Knoll Dr (WB)",,35.758330,-78.547790,,,,,,0
237,8115,"Falls of Neuse Rd at Cedarhurst Dr (NB)",,35.848459,-78.614730,,,,,,0
238,8118,"Falls of Neuse Rd at Millbrook Rd",,35.851475,-78.614286,,,,,,0
239,8119,"Blue Ridge Rd at Westchase Blvd (SB)",,35.800711,-78.707517,,,,,,0
240,8120,"Blue Ridge Rd at Westchase Blvd (Ramada Inn)",,35.801153,-78.707259,,,,,,0
241,8121,"Falls of Neuse Rd at Fairfax Dr (NB)",,35.857220,-78.615910,,,,,,0
242,8122,"Falls of Neuse Rd at Manassas Ct (NB)",,35.859603,-78.617561,,,,,,0
243,8123,"Falls of Neuse Rd at Falls Church Rd",,35.862200,-78.619360,,,,,,0
245,8125,"Volant Dr at Carlos Dr",,35.864860,-78.617450,,,,,,0
246,8126,"Carlos Dr at Falls of the Neuse Rd",,35.864650,-78.618950,,,,,,0
247,8127,"Falls of Neuse Rd at Springfield Commons Dr",,35.867157,-78.620577,,,,,,0
248,8128,"Falls of Neuse Rd at Bullard Ct",,35.869164,-78.620955,,,,,,0
249,8129,"Blue Ridge Rd at Trinity Rd (NB)",,35.797941,-78.707561,,,,,,0
250,8130,"Falls of Neuse Rd at Sandy Forks Rd",,35.873200,-78.622270,,,,,,0
252,8132,"Falls of Neuse Rd at Fox Hunt Ln",,35.877170,-78.623930,,,,,,0
253,8133,"Blue Ridge Rd at Hillsborough St (NB)",,35.796166,-78.707153,,,,,,0
254,8134,"Falls of Neuse Rd at Harps Mill Rd (NB)",,35.881459,-78.625768,,,,,,0
255,8135,"Falls of Neuse Rd at Ravenscroft Dr (NB)",,35.884858,-78.626901,,,,,,0
256,8136,"Falls of Neuse Rd at Weathergreen Dr (NB)",,35.888920,-78.627362,,,,,,0
257,8137,"Falls of the Neuse at Strickland Rd (IB)",,35.892924,-78.626059,,,,,,0
258,8138,"Falls of Neuse at Strickland Rd",,35.891720,-78.626910,,,,,,0
259,8139,"Falls of Neuse Rd at Weathergreen Dr",,35.888710,-78.627660,,,,,,0
261,8141,"Falls of Neuse Rd at Harps Mill Rd (SB)",,35.880860,-78.625700,,,,,,0
263,8143,"Falls of Neuse Rd at Hunting Ridge Rd",,35.874285,-78.622864,,,,,,0
264,8144,"Falls of Neuse Rd at Spring Forest Rd",,35.869140,-78.621123,,,,,,0
265,8145,"Falls of Neuse Rd at Ridgefield Dr",,35.866000,-78.620660,,,,,,0
266,8146,"Falls of Neuse Rd at Logger Ct",,35.863540,-78.619980,,,,,,0
267,8147,"Falls of Neuse Rd at North Bend Dr",,35.861040,-78.619260,,,,,,0
268,8148,"Falls of Neuse Rd at Fairfax Dr (SB)",,35.856720,-78.615900,,,,,,0
269,8149,"Falls of Neuse Rd at Fireside Dr",,35.854370,-78.615173,,,,,,0
270,8150,"Blue Ridge Rd at Crimson Cross Ct",,35.787821,-78.703529,,,,,,0
271,8151,"Falls of Neuse Rd at E Millbrook Rd (SB)",,35.851306,-78.614493,,,,,,0
272,8152,"Falls of Neuse Rd at Cedarhurst Dr (SB)",,35.849114,-78.614789,,,,,,0
273,8153,"Falls of Neuse Rd at Pemberton Dr",,35.844670,-78.614620,,,,,,0
274,8154,"Falls of Neuse Rd at Old Wake Forest Rd (SB)",,35.841229,-78.611970,,,,,,0
275,8155,"Wake Forest Rd at Ollie St",,35.839100,-78.612120,,,,,,0
276,8156,"Wake Forest Rd at Hardimont Rd",,35.837527,-78.613047,,,,,,0
277,8157,"Wake Forest Rd at Colby Dr",,35.835385,-78.615052,,,,,,0
278,8158,"Wake Forest Rd at Dresser Ct (SB)",,35.832776,-78.617470,,,,,,0
279,8159,"Wake Forest Rd at St Albans Dr (Hilton Midtown)",,35.830049,-78.619151,,,,,,0
280,8160,"Wake Forest Rd at Navaho Dr (SB)",,35.827523,-78.620415,,,,,,0
281,8161,"Wake Forest Rd at Wake Towne Dr (SB)",,35.823563,-78.622366,,,,,,0
282,8163,"Wake Forest Rd at Six Forks Rd (Creekside Crossing",,35.818557,-78.624727,,,,,,0
283,8164,"Wake Forest Rd at Hodges St (SB)",,35.815488,-78.626266,,,,,,0
284,8165,"Wake Forest Rd at McNeil St",,35.813460,-78.626770,,,,,,0
285,8166,"McNeil St at Bernard St",,35.814256,-78.629003,,,,,,0
286,8167,"Noble Rd at McNeil St",,35.814360,-78.631710,,,,,,0
287,8168,"Noble Rd at Wayne Dr",,35.812510,-78.633170,,,,,,0
288,8169,"Noble Rd at North of Pine Dr",,35.810070,-78.635070,,,,,,0
289,8170,"Pine Dr at Whitaker Mill Rd",,35.807823,-78.636288,,,,,,0
290,8171,"Whitaker Mill Rd at Reaves Dr",,35.806656,-78.638891,,,,,,0
291,8172,"Whitaker Mill Rd at McCarthy St",,35.805609,-78.641484,,,,,,0
292,8173,"Whitaker Mill Rd at Fairview Rd (WB)",,35.804370,-78.645130,,,,,,0
293,8174,"Glenwood Ave at Glen Ave",,35.803209,-78.646102,,,,,,0
294,8175,"Glenwood Ave at Harvey St (SB)",,35.800945,-78.646154,,,,,,0
295,8176,"Glenwood Ave at Cole St (Raleigh Charter High Scho",,35.795870,-78.646488,,,,,,0
296,8177,"Glenwood Ave at Washington St (SB)",,35.792813,-78.646883,,,,,,0
298,8179,"Glenwood Ave at W Peace St",,35.789480,-78.647260,,,,,,0
299,8180,"Glenwood Ave at W Johnson St",,35.787013,-78.647258,,,,,,0
301,8182,"Glenwood Ave at W Jones St",,35.782930,-78.647490,,,,,,0
302,8183,"Glenwood Ave at Hillsborough St",,35.780962,-78.647627,,,,,,0
303,8184,"Morgan St at Glenwood Ave OB",,35.779955,-78.648372,,,,,,0
304,8185,"W Morgan St at S Harrington St",,35.779684,-78.643602,,,,,,0
305,8186,"W Morgan St at S Dawson St",,35.798483,-78.710028,,,,,,0
306,8187,"E Morgan St at S Wilmington St",,35.779508,-78.637290,,,,,,0
307,8188,"E Morgan St at S Person St",,35.779990,-78.635050,,,,,,0
309,8190,"Shoppes at Battle Bridge",,35.724393,-78.546978,,,,,,0
310,8191,"Rock Quarry Rd at Interlock Dr (SB)",,35.732595,-78.559854,,,,,,0
311,8192,"Glascock St at Clifton St (OB)",,35.793050,-78.627670,,,,,,0
312,8193,"Glascock St at Brookside Dr",,35.792910,-78.624660,,,,,,0
313,8194,"Glascock St at Raleigh Blvd",,35.792850,-78.613710,,,,,,0
314,8195,"Raleigh Blvd at Cantwell Ct",,35.794098,-78.612792,,,,,,0
315,8196,"Trinity Rd at Youth Center Dr",,35.798870,-78.716840,,,,,,0
316,8197,"Chapel Hill Rd at Hillsborough St",,35.790100,-78.717170,,,,,,0
317,8199,"Chapel Hill Rd at Edwards Mill Rd",,35.789280,-78.726339,,,,,,0
318,8200,"Rock Quarry Rd at Riverbrooke Dr",,35.742601,-78.576286,,,,,,0
319,8201,"Rock Quarry Rd at Rockwood Dr",,35.743041,-78.576924,,,,,,0
320,8202,"Rock Quarry Rd at Trassacks Dr",,35.743916,-78.579772,,,,,,0
321,8203,"Edwards Mill Rd at Corinthian Way",,35.794960,-78.727270,,,,,,0
322,8204,"Rock Quarry Rd at Holloway Rd",,35.744306,-78.580285,,,,,,0
324,8206,"Hillsborough St at Etta Burke Ct",,35.788090,-78.717870,,,,,,0
326,8208,"Rock Quarry Rd at Sunnybrook Rd (SB)",,35.746838,-78.587629,,,,,,0
327,8209,"Rock Quarry Rd at Sunnybrook Rd (NB)",,35.746788,-78.586797,,,,,,0
328,8210,"Rock Quarry Rd at Rock Quarry Crossing",,35.747645,-78.592650,,,,,,0
329,8211,"Rock Quarry Rd at New Birch Dr",,35.747275,-78.598585,,,,,,0
330,8212,"Rock Quarry Rd at Southeast Raleigh High School",,35.747134,-78.601989,,,,,,0
331,8213,"Rock Quarry Rd at Compassionate Dr (NB)",,35.747319,-78.602155,,,,,,0
332,8214,"Rock Quarry Rd at Sanderford Rd",,35.750759,-78.611927,,,,,,0
335,8217,"Glascock St at State St",,35.792902,-78.620856,,,,,,0
336,8218,"Glascock St at Brookside Dr",,35.793078,-78.624731,,,,,,0
337,8219,"Glascock St at Clifton St (IB)",,35.793146,-78.627557,,,,,,0
344,8226,"Western Blvd at Merendino St",,35.785729,-78.705313,,,,,,0
346,8228,"Hillsborough St at Glenwood Ave",,35.780870,-78.648550,,,,,,0
347,8229,"Peyton St at Louise St",,35.768410,-78.607000,,,,,,0
348,8230,"Peyton St at Brigham Rd",,35.766160,-78.605950,,,,,,0
349,8231,"Hillsborough St at St Marys St",,35.781033,-78.651203,,,,,,0
350,8232,"Hillsborough St at Mayo St (Saint Mary's School)",,35.781853,-78.653634,,,,,,0
351,8233,"Birch Ridge Dr at Poole Rd",,35.767120,-78.577580,,,,,,0
352,8234,"Hillsborough St at Park Ave (WB)",,35.783533,-78.656298,,,,,,0
353,8235,"Hillsborough St at Forest Rd (WB)",,35.784756,-78.659081,,,,,,0
354,8236,"Middle Branch Rd at Sunnybrook Rd (WB)",,35.765320,-78.580540,,,,,,0
355,8237,"Hillsborough St at Enterprise St (North Hall)",,35.786869,-78.664474,,,,,,0
356,8238,"Hillsborough St at Horne St (WB)",,35.787930,-78.668456,,,,,,0
357,8239,"Little John Rd at Weston St (WB)",,35.763170,-78.593810,,,,,,0
358,8240,"Hillsborough St at Brooks Ave (WB)",,35.788818,-78.672491,,,,,,0
359,8241,"Hillsborough St at Dixie Trail",,35.789423,-78.675338,,,,,,0
360,8242,"Dixie Trail at Kilgore Ave",,35.793460,-78.675635,,,,,,0
361,8243,"Dixie Trail at Fowler Ave",,35.795750,-78.675918,,,,,,0
362,8244,"Dixie Trail at Mayview Rd",,35.797512,-78.676509,,,,,,0
363,8245,"Dixie Trail at O'Berry St (NB)",,35.799733,-78.676256,,,,,,0
364,8246,"Brigadoon Dr",,35.771770,-78.688370,,,,,,0
365,8247,"Wade Ave at Faircloth St (OB)",,35.801132,-78.683318,,,,,,0
366,8248,"Ridge Rd at Wade Ave (NB)",,35.802663,-78.687422,,,,,,0
367,8249,"Ridge Rd at Lewis Farm Rd",,35.809345,-78.684786,,,,,,0
