stop_id,stop_city
779192,Durham
779692,Durham
779328,Durham
779080,Durham
4253791,Durham
779826,Durham
779142,Durham
779835,Durham
780005,Durham
779751,Durham
779419,Durham
779812,Durham
779383,Durham
779373,Durham
779168,Durham
780043,Durham
779522,Durham
779106,Durham
779227,Durham
2562286,Durham
779086,Durham
779457,Durham
779866,Durham
779782,Durham
786481,Durham
780039,Durham
779226,Durham
779978,Durham
779478,Durham
779315,Durham
779629,Durham
779429,Durham
779534,Durham
4253804,Durham
779104,Durham
780045,Durham
779991,Durham
779924,Durham
779128,Durham
779955,Durham
779549,Durham
779194,Durham
780061,Durham
779874,Durham
2332196,Durham
779381,Durham
779552,Durham
779853,Durham
779717,Durham
779875,Durham
4247424,"Durham, NC"
780101,Durham
779434,Durham
779886,Durham
779741,Durham
779935,Durham
779967,Durham
779462,Durham
2430351,Durham
2537591,Durham
4253806,Durham
779882,Durham
780049,Durham
779590,Durham
780114,Durham
779333,Durham
780111,Durham
780112,Durham
4253800,Durham
779245,Durham
779679,Durham
4253798,Durham
779834,Durham
779946,Durham
3451573,Durham
2562299,Durham
779356,Durham
779965,Durham
779293,Durham
779879,Durham
779670,Durham
779436,Durham
779483,Durham
780079,Durham
779123,Durham
779949,Durham
779250,Durham
2562290,Durham
779573,Durham
779486,Durham
779482,Durham
780059,Durham
779921,Durham
780015,Durham
779362,Durham
779097,Durham
779091,Durham
779667,Durham
779585,Durham
779843,Durham
779887,Durham
779583,Durham
804103,Durham
779442,Durham
779610,Durham
779088,Durham
779163,Durham
779471,Durham
779998,Durham
780055,Durham
4248575,"Durham, NC"
780052,Durham
779453,Durham
780012,Durham
780102,Durham
818176,Durham
4247422,"Durham, NC"
779294,Durham
2562291,Durham
779707,Durham
779813,Durham
779154,Durham
779964,Durham
779301,Durham
779246,Durham
4253792,Durham
779229,Durham
779111,Durham
779454,Oak Grove
779958,Durham
780053,Durham
779130,Durham
779210,Durham
2562488,Research Triangle Park
779431,Durham
779524,Durham
779160,Durham
779824,Durham
779663,Durham
779759,Durham
779248,Durham
779888,Durham
779637,Durham
779167,Durham
779317,Durham
779366,Durham
804102,Durham
779331,Durham
779203,Durham
779171,Durham
779405,Durham
779438,Durham
4253796,Durham
779343,Durham
4247417,"Durham, NC"
779413,Durham
779896,Durham
779562,Durham
779983,Durham
780017,Durham
779407,Durham
780109,Durham
779335,Durham
779987,Durham
779219,Durham
779280,Durham
786480,Durham
779268,Durham
779358,Durham
4247437,"Durham, NC"
779995,Durham
779228,Durham
779208,Durham
779975,Durham
779708,Durham
779906,Durham
779675,Durham
779905,Durham
779320,Durham
780032,Durham
779878,Durham
779956,Durham
783785,Durham
780009,Durham
780034,Durham
779096,Durham
779720,Durham
2562476,Durham
2613768,Durham
779986,Durham
779602,Durham
779915,Durham
779732,Durham
779242,Durham
779892,Durham
779092,Durham
779683,Durham
779628,Durham
779871,Durham
779347,Durham
779800,Durham
779912,Durham
779926,Durham
779772,Durham
779297,Durham
779673,Durham
779490,Durham
779425,Durham
779117,Durham
803747,Durham
779230,Durham
779458,Durham
779773,Durham
2562490,Durham
779793,Durham
779190,Durham
779661,Durham
779207,Durham
779968,Durham
779642,Durham
779712,Durham
779243,Durham
779974,Durham
779273,Durham
780011,Durham
779259,Durham
2562481,Research Triangle Park
779682,Durham
779244,Durham
779621,Durham
779836,Durham
2562293,Durham
779899,Durham
779922,Durham
779739,Durham
779403,Durham
2619556,City of Durham
779296,Durham
779311,Durham
780073,Durham
779766,Durham
779936,Durham
779681,Durham
779758,Durham
779139,Durham
4247419,"Durham, NC"
779372,Durham
4247414,"Durham, NC"
779934,Durham
780046,Durham
779780,Durham
780033,Durham
779904,Durham
779491,Durham
779181,Durham
779678,Durham
4253802,Durham
779084,Durham
779180,Durham
779672,Durham
779412,Durham
779365,Durham
806519,Raleigh
779303,Durham
780051,Durham
780115,Durham
779527,Durham
779742,Durham
779275,Durham
779702,Durham
779764,Durham
779680,Durham
779890,Durham
779318,Durham
780022,Durham
779799,Durham
779997,Durham
779977,Durham
779543,Durham
779114,Durham
779624,Durham
779960,Durham
779078,Durham
779446,Durham
779989,Durham
779506,Durham
779528,Durham
780072,Durham
779364,Durham
779416,Durham
779947,Durham
780030,Durham
779253,Durham
779607,Durham
779444,Durham
779504,Durham
779517,Durham
779370,Durham
779119,Durham
779149,Durham
2382222,Durham
780026,Durham
779339,Durham
780041,Durham
798983,Durham
779611,Durham
779510,Durham
780063,Durham
779134,Durham
779891,Durham
779384,Durham
779940,Durham
779501,Durham
780058,Durham
779754,Durham
2529105,Durham
779747,Durham
779867,Durham
779276,Durham
779185,Durham
779281,Durham
779709,Durham
779100,Durham
779985,Durham
779269,Durham
780035,Durham
779931,Durham
779485,Durham
779932,Durham
4253805,Durham
779255,Durham
779951,Durham
779704,Durham
779737,Durham
779674,Morrisville
779910,Durham
779274,Durham
779137,Durham
779612,Durham
779541,Durham
779272,Durham
779740,Durham
779448,Durham
4253801,Durham
780008,Durham
779653,Raleigh
779152,Durham
779120,Durham
779257,Durham
2562480,Research Triangle Park
779305,Durham
4247415,"Durham, NC"
779109,Durham
779489,Durham
779718,Durham
779473,Durham
779838,Durham
779170,Durham
779316,Durham
780023,Durham
4211711,Durham
779285,Durham
779173,Durham
2440811,Durham
779929,Durham
779083,Durham
779917,Durham
779855,Durham
779786,Durham
4253781,Durham
779199,Durham
779515,Durham
779423,Durham
779652,Raleigh
779179,Durham
2382510,Durham
779218,Durham
779449,Durham
4209720,Durham
786478,Durham
780082,Durham
4247427,"Durham, NC"
780004,Durham
779081,Durham
779569,Durham
779696,Durham
779367,Durham
780003,Durham
779151,Durham
779077,Durham
779614,Durham
4247423,"Durham, NC"
2562474,Durham
779093,Durham
2562478,Research Triangle Park
779514,Durham
779164,Durham
779286,Durham
779518,Durham
779555,Durham
780054,Durham
779150,Durham
779325,Durham
779841,Durham
779388,Durham
779283,Durham
779443,Durham
4247420,"Durham, NC"
780057,Durham
780014,Durham
779999,Durham
779187,Durham
780018,Durham
779781,Durham
779757,Durham
779197,Durham
4253793,Durham
779547,Durham
779322,Durham
779441,Durham
779411,Durham
779279,Durham
779860,Durham
780006,Durham
780037,Durham
779461,Durham
779307,Durham
779862,Durham
780065,Durham
779127,Durham
779981,Durham
779622,Durham
779787,Durham
779369,Durham
779711,Durham
779145,Durham
779646,Durham
780007,Durham
779251,Durham
779933,Durham
779487,Durham
779744,Durham
779575,Durham
779944,Durham
779736,Durham
779845,Durham
4253794,Durham
779842,Durham
779827,Durham
779963,Durham
779615,Durham
794915,Durham
779969,Durham
4247421,"Durham, NC"
779848,Raleigh
779326,Durham
779796,Durham
779716,Durham
779901,Durham
779209,Durham
779292,Durham
779302,Durham
780118,Durham
780098,Durham
779359,Durham
779198,Durham
779658,Durham
779526,Durham
2562485,Research Triangle Park
779830,Durham
779849,Morrisville
779432,Durham
779337,Durham
779656,Durham
779249,Durham
780113,Durham
779344,Durham
780036,Durham
779345,Durham
779810,Durham
779907,Durham
779811,Durham
779568,Durham
779469,Durham
779643,Durham
779529,Durham
779840,Durham
779175,Durham
780107,Durham
779724,Durham
779982,Durham
779626,Durham
2526381,Durham
779790,Durham
779375,Durham
780048,Durham
779596,Durham
779224,Durham
2562491,Durham
779789,Durham
2562487,Research Triangle Park
779479,Durham
779973,Durham
779523,Durham
779980,Durham
779570,Durham
779619,Durham
779893,Durham
779391,Durham
780104,Durham
779684,Durham
2562292,Durham
779241,Durham
779591,Durham
780066,Durham
2619555,Durham
779586,Durham
779433,Durham
779767,Durham
779495,Durham
779588,Durham
779959,Durham
779234,Durham
779542,Durham
779540,Durham
779327,Durham
807060,Durham
779872,Durham
779715,Durham
779186,Durham
779749,Durham
779233,Durham
780021,Durham
779214,Durham
779509,Durham
779795,Durham
779408,Durham
779440,Durham
779832,Durham
779424,Durham
779768,Durham
2562483,Research Triangle Park
779752,Durham
779572,Durham
2562489,Durham
780060,Durham
4247413,"Durham, NC"
779990,Durham
779144,Durham
779776,Durham
779282,Durham
779913,Durham
779783,Durham
779076,Durham
779087,Durham
779402,Durham
780002,Durham
2328346,Durham
779770,Durham
779258,Durham
779883,Durham
779288,Durham
779880,Durham
779941,Durham
779341,Durham
779689,Durham
779829,Durham
779791,Durham
779371,Durham
779937,Durham
780094,Durham
779876,Durham
779183,Durham
4247439,"Durham, NC"
4247428,"Durham, NC"
779172,Durham
779376,Durham
779386,Durham
779548,Durham
4247438,"Durham, NC"
779988,Durham
779206,Durham
779996,Durham
4253782,Durham
779162,Durham
779396,Durham
780056,Durham
779877,Durham
2562288,Durham
779484,Durham
779851,Durham
779165,Durham
779831,Durham
2584568,Durham
779422,Durham
779089,Durham
779178,Durham
2562504,Durham
779310,Durham
779710,Durham
779437,Durham
779148,Durham
4247426,"Durham, NC"
789289,Durham
779499,Durham
779613,Durham
779920,Durham
779828,Durham
779620,Durham
779418,Durham
2562484,Research Triangle Park
786479,Morrisville
779714,Durham
779476,Durham
779617,Durham
4253780,Durham
780074,Durham
803751,Durham
