trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_5907697_b_83063_tn_0,,,779185,19,,0,0,8554.241543202445,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779371,20,,0,0,8724.203881402169,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779280,21,,0,0,8837.739259644837,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779368,22,,0,0,9084.68558341873,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779218,23,,0,0,9211.541691025555,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,06:36:00,06:36:00,779162,24,,0,0,9598.19112076642,1,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779729,25,,0,0,9807.890581285308,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779781,26,,0,0,10004.051988608178,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779467,27,,0,0,10250.02906851085,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779782,28,,0,0,10500.494369205102,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779431,29,,0,0,10643.392287912831,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,780015,30,,0,0,10828.887377371333,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,779286,31,,0,0,11042.799927986505,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,,,4248575,32,,0,0,11313.219236883197,0,,,,,1,1,,,,,,,,,,,
t_5907697_b_83063_tn_0,06:55:00,06:55:00,780017,33,,0,0,11916.066705479996,1,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,07:20:00,07:20:00,779677,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779678,2,,0,0,1530.2327076299239,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779668,3,,0,0,2145.620210708433,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779566,4,,0,0,2768.873138119321,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779702,5,,0,0,3351.7844357880836,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779182,6,,0,0,3922.7584321691907,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779248,7,,0,0,4561.6109016556375,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779114,8,,0,0,5338.168743773192,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779703,9,,0,0,5747.335954426462,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779413,10,,0,0,5975.391261492426,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779145,11,,0,0,6344.187178704363,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779508,12,,0,0,6736.178826342504,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779359,13,,0,0,6953.163623431681,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779411,14,,0,0,7399.163216692772,0,,,,,1,1,,,,,,,,,,,
t_5907698_b_83063_tn_0,,,779385,15,,0,0,7618.186446517054,0,,,,,1,1,,,,,,,,,,,
