service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
47738,1,1,1,1,1,0,0,20170903,20291231
47732,0,0,0,0,0,1,0,20170903,20291231
47733,1,1,1,1,1,0,0,20170903,20291231
47734,0,0,0,0,0,1,0,20170903,20291231
47735,0,0,0,0,0,1,0,20170903,20291231
47739,1,1,1,1,1,0,0,20170903,20291231
47736,0,0,0,0,0,1,0,20170903,20291231
47740,1,1,1,1,1,0,0,20170903,20291231
47737,1,1,1,1,1,0,0,20170903,20291231
47741,0,0,0,0,0,1,0,20170903,20291231
