fare_id,route_id,origin_id,destination_id,contains_id
1196,13514,,,
1196,1556,,,
1196,1558,,,
1196,1560,,,
1196,1561,,,
1196,1563,,,
1196,1564,,,
1196,1565,,,
1196,1566,,,
1196,1568,,,
1196,1572,,,
1196,1573,,,
1196,1574,,,
1196,4772,,,
1198,13513,,,
1198,1754,,,
1198,1755,,,
1198,1758,,,
1198,1760,,,
1198,1761,,,
1198,1810,,,
1199,14490,,,
1199,1762,,,
1199,1763,,,
1199,1765,,,
1199,1767,,,
1199,1768,,,
1199,1777,,,
1199,1780,,,
1199,1781,,,
1199,1782,,,
1199,1783,,,
1199,1784,,,
1199,1786,,,
1199,1787,,,
1199,1788,,,
1199,1789,,,
1199,1791,,,
1199,4506,,,
1199,4508,,,
1199,4509,,,
1199,4723,,,
1199,4731,,,
