route_id,direction_id,direction
15146,1,Inbound
15146,0,Outbound
15145,1,Westbound
15145,0,Eastbound
15144,1,Westbound
15144,0,Eastbound
15111,1,Inbound
15111,0,Outbound
15110,1,Inbound
15110,0,Outbound
5338,1,Inbound
5338,0,Outbound
1508,1,Inbound
1508,0,Outbound
1507,1,Inbound
1507,0,Outbound
1140,1,Inbound
1140,0,Outbound
1139,1,Inbound
1139,0,Outbound
1138,1,Inbound
1138,0,Outbound
1137,1,Inbound
1137,0,Outbound
1136,0,No direction
1135,1,Inbound
1135,0,Outbound
1134,1,Inbound
1134,0,Outbound
1133,1,Inbound
1133,0,Outbound
1132,1,Inbound
1132,0,Outbound
1131,1,Inbound
1131,0,Outbound
