route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5641,59215.162571,871688,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871689,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871690,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871691,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871692,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871693,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871694,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871695,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871696,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871697,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871698,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871699,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871700,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871701,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871702,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871703,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871704,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871705,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871706,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871707,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871708,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871709,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871710,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871711,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871712,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871713,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871714,Route 20,20301,0,34472,59215,1,1
5641,59215.162571,871715,Route 20,,0,34472,59215,0,0
5641,59215.162571,871716,Route 20,,0,34472,59215,0,0
5641,59215.162571,871717,Route 20,,0,34472,59215,0,0
5641,59215.162571,871718,Route 20,,0,34472,59215,0,0
5641,59215.162571,871719,Route 20,,0,34472,59215,0,0
5641,59215.162571,871720,Route 20,,0,34472,59215,0,0
5641,59215.162571,871721,Route 20,,0,34472,59215,0,0
5644,59215.162571,1110551,Route 30,,,48454,72451,0,0
5644,59215.162571,1110553,Route 30,,,48454,72451,0,0
5644,59215.162571,1110554,Route 30,,,48454,72451,0,0
5644,59215.162571,1110555,Route 30,,,48454,72451,0,0
5644,59215.162571,1110556,Route 30,,,48454,72451,0,0
5644,59215.162571,1110557,Route 30,,,48454,72451,0,0
5644,59215.162571,1110558,Route 30,,,48454,72451,0,0
5644,59215.162571,1110559,Route 30,,,48454,72451,0,0
5644,59215.162571,1110560,Route 30,,,48454,72451,0,0
5644,59215.162571,1110561,Route 30,,,48454,72451,0,0
5644,59215.162571,1110562,Route 30,,,48454,72451,0,0
5644,59215.162571,1110563,Route 30,,,48454,72451,0,0
5644,59215.162571,1110564,Route 30,,,48454,72451,0,0
5644,59215.162571,1110565,Route 30,,,48454,72451,0,0
5644,59215.162571,1110566,Route 30,,,48454,72451,0,0
5644,59215.162571,1110567,Route 30,,,48454,72451,0,0
5644,59215.162571,1110568,Route 30,,,48454,72451,0,0
5644,59215.162571,1110569,Route 30,,,48454,72451,0,0
5644,59215.162571,1110570,Route 30,,,48454,72451,0,0
5644,59215.162571,1110571,Route 30,,,48454,72451,0,0
5644,72451.213256,1110552,Route 30,,,48455,72451,0,0
5644,72451.213256,1110572,Route 30,,,48455,72451,0,0
5644,72451.213256,1110573,Route 30,,,48455,72451,0,0
5644,72451.213256,1110574,Route 30,,,48455,72451,0,0
5644,72451.213256,1110575,Route 30,,,48455,72451,0,0
5644,72451.213256,1110576,Route 30,,,48455,72451,0,0
5644,72451.213256,1110577,Route 30,,,48455,72451,0,0
5644,72451.213256,1110578,Route 30,,,48455,72451,0,0
5644,72451.213256,1110579,Route 30,,,48455,72451,0,0
5644,72451.213256,1110580,Route 30,,,48455,72451,0,0
5644,72451.213256,1110581,Route 30,,,48455,72451,0,0
5644,72451.213256,1110582,Route 30,,,48455,72451,0,0
5644,72451.213256,1110583,Route 30,,,48455,72451,0,0
5644,72451.213256,1110584,Route 30,,,48455,72451,0,0
5644,72451.213256,1110585,Route 30,,,48455,72451,0,0
5644,72451.213256,1110586,Route 30,,,48455,72451,0,0
5644,72451.213256,1110587,Route 30,,,48455,72451,0,0
5644,72451.213256,1110588,Route 30,,,48455,72451,0,0
