service_id,date,exception_type
76429,20190419,2
76429,20190527,2
76429,20190704,2
76429,20190902,2
76429,20191111,2
76429,20191128,2
76429,20191129,2
76429,20191224,2
76429,20191225,2
76429,20191226,2
76429,20200101,2
76429,20200120,2
76429,20200410,2
76429,20200525,2
76429,20200704,2
76429,20200907,2
76429,20201111,2
76429,20201119,2
76429,20201127,2
76429,20201224,2
76429,20201225,2
76429,20210101,2
76429,20210125,2
76429,20210402,2
76429,20210524,2
76429,20210704,2
76429,20210906,2
76429,20211111,2
76429,20211125,2
76429,20211126,2
76429,20211224,2
76429,20211225,2
76429,20220101,2
76429,20220124,2
