school_name,geocode_flag,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,n_agencies_loaded
Asheville High,review_recommended,Buncombe,Regular School,None,Traditional,35.573022660705824,-82.55220231383647,62552.5,0,0.0,False,21
Hall Fletcher Elementary,ok,Buncombe,Regular School,Magnet,Modified,35.57547627561324,-82.57489044627943,60708.1,0,0.0,False,21
Isaac Dickson Elementary,review_recommended,Buncombe,Regular School,Magnet,Modified,35.59464012958737,-82.56453493600726,62343.3,0,0.0,False,21
Claxton Elementary,ok,Buncombe,Regular School,Magnet,Modified,35.60797952003518,-82.55348594355222,63827.8,0,0.0,False,21
Ira B Jones Elementary,ok,Buncombe,Regular School,Magnet,Modified,35.630003797377924,-82.54916528298915,65160.8,0,0.0,False,21
Asheville Middle,ok,Buncombe,Regular School,None,Traditional,35.58658541398177,-82.55967352064263,62430.7,0,0.0,False,21
Vance Elementary,ok,Buncombe,Regular School,Magnet,Modified,35.578365254646975,-82.60048069877125,58651.3,0,0.0,False,21
Chesterfield Elementary,review_recommended,Burke,Regular School,None,Traditional,35.81080887818941,-81.66390836583639,5707.1,0,0.0,False,21
Hallyburton Academy,ok,Burke,Alternative Education,None,Traditional,35.745956368666,-81.69280843999408,206.6,11,13.0,True,21
Forest Hill Elementary,ok,Burke,Regular School,None,Traditional,35.732334076933654,-81.70078505034583,474.5,5,13.0,True,21
Freedom High,ok,Burke,Regular School,None,Traditional,35.744229782285814,-81.71911289797187,763.0,1,13.0,True,21
Glen Alpine Elementary,review_recommended,Burke,Regular School,None,Traditional,35.725037170320405,-81.77871809688966,5824.0,0,0.0,False,21
Heritage Middle,ok,Burke,Regular School,None,Traditional,35.759185778896104,-81.58132770405479,6704.0,0,0.0,False,21
Mountain Crest Elementary,ok,Burke,Regular School,None,Traditional,35.75407080567753,-81.67481698531982,165.8,5,13.0,True,21
Liberty Middle,review_recommended,Burke,Regular School,None,Traditional,35.70752018803151,-81.67077569525277,2180.2,0,0.0,True,21
North Liberty,review_recommended,Burke,Exceptional Children,None,Traditional,35.70866192389717,-81.67090600386312,2068.8,0,0.0,True,21
Salem Elementary,review_recommended,Burke,Regular School,None,Traditional,35.695636172093266,-81.70087383377911,3130.7,0,0.0,True,21
Valdese Elementary,review_recommended,Burke,Regular School,None,Traditional,35.74691882079765,-81.5668850797109,7760.3,0,0.0,False,21
Beverly Hills Elementary,review_recommended,Cabarrus,Regular School,None,Traditional,35.43109889314245,-80.59561473196587,404.5,9,15.6,True,21
