county,year,internet_type,pct_households,lat,lon,internet_category
Haywood County,2021,with an internet subscription - cellular data plan,1.0,35.55606261831128,-82.9821769840592,with an internet subscription - cellular data plan
Jackson County,2021,with an internet subscription,1.0,35.28759449222261,-83.14085400351321,with an internet subscription
Lee County,2021,with an internet subscription - cellular data plan,1.0,35.475191953202334,-79.17148780684427,with an internet subscription - cellular data plan
Lenoir County,2021,with an internet subscription - cellular data plan,1.0,35.2387727491288,-77.64123825789258,with an internet subscription - cellular data plan
Mecklenburg County,2021,"with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.24647326538168,-80.8326243427789,fiber
Robeson County,2021,total households,1.0,34.64024635950607,-79.10387160625888,total households
Stokes County,2021,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,36.4019121769314,-80.23951953897095,with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Yadkin County,2018,estimate - total - with an internet subscription - dial-up with no other type of internet subscription,1.0,36.16053995623957,-80.66524692905888,dialup
Yadkin County,2018,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,36.16053995623957,-80.66524692905888,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
Alleghany County,2018,estimate - total - with an internet subscription - broadband of any type,1.0,36.49127377323688,-81.12785452626802,estimate - total - with an internet subscription - broadband of any type
Rowan County,2018,estimate - total,1.0,35.63948062909124,-80.52477437235821,estimate - total
Rowan County,2018,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl",1.0,35.63948062909124,-80.52477437235821,fiber
Warren County,2018,estimate - total - with an internet subscription - satellite internet service - satellite internet service with no other type of internet subscription,1.0,36.396516724483234,-78.1067192799684,satellite
Gates County,2018,estimate - total,1.0,36.44495018813827,-76.70052276274026,estimate - total
Cumberland County,2018,"estimate - total - with an internet subscription - broadband such as cable, fiber optic or dsl - broadband such as cable, fiber optic or dsl with no other type of internet subscription",1.0,35.048616925792395,-78.82756016065333,fiber
Jones County,2018,estimate - total - with an internet subscription - broadband of any type,1.0,35.02173127170968,-77.3551706580521,estimate - total - with an internet subscription - broadband of any type
Jones County,2018,estimate - total - with an internet subscription - cellular data plan,1.0,35.02173127170968,-77.3551706580521,estimate - total - with an internet subscription - cellular data plan
Beaufort County,2018,estimate - total - with an internet subscription - broadband of any type,1.0,35.48688258260614,-76.84505336233535,estimate - total - with an internet subscription - broadband of any type
Mcdowell County,2017,estimate - total - with an internet subscription,1.0,35.681643343083735,-82.04932060905985,estimate - total - with an internet subscription
Johnston County,2017,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription,1.0,35.51781367396539,-78.3657086914579,estimate - total - with an internet subscription - cellular data plan - cellular data plan with no other type of internet subscription
