edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
GC Middle College High,Guilford,0.065,11:12,guilford,gc middle college high,best fuzzy score 80 below threshold 85
Penn-Griffin Schools,Guilford,0.0962,6:12,guilford,penn griffin schools,best fuzzy score 44 below threshold 85
Hampton Elem Univ Partnership,Guilford,0.256,P2:05,guilford,hampton elementary univ partnership,best fuzzy score 70 below threshold 85
Monticello-Brown Summit Elem,Guilford,0.2349,PK:05,guilford,monticello brown summit elementary,best fuzzy score 84 below threshold 85
Ceasar Cone Elementary,Guilford,0.3146,P2:05,guilford,ceasar cone elementary,best fuzzy score 81 below threshold 85
James B Dudley High,Guilford,0.4101,9:12,guilford,james b dudley high,best fuzzy score 73 below threshold 85
Lincoln Academy,Guilford,0.104,4:08,guilford,lincoln academy,best fuzzy score 81 below threshold 85
Herbin Metz Education Center,Guilford,0.2045,P0:08,guilford,herbin metz education center,best fuzzy score 77 below threshold 85
Eastern Guilford Middle,Guilford,0.168,6:08,guilford,eastern guilford middle,best fuzzy score 82 below threshold 85
Ronald E. McNair Elementary,Guilford,0.1873,PK:05,guilford,ronald e mcnair elementary,best fuzzy score 79 below threshold 85
Montlieu Academy of Technology,Guilford,0.2134,PK:05,guilford,montlieu academy of technology,best fuzzy score 70 below threshold 85
C Joyner Greene Education Center,Guilford,0.125,8:12,guilford,c joyner greene education center,best fuzzy score 71 below threshold 85
American Renaissance School,Iredell,0.1344,KG:08,iredell,american renaissance,best fuzzy score 43 below threshold 85
Success Institute Charter,Iredell,0.11,KG:08,iredell,success institute charter,best fuzzy score 44 below threshold 85
Summit Charter,Jackson,0.0936,KG:09,jackson,summit charter,best fuzzy score 38 below threshold 85
Sandy Grove Middle,Hoke,0.2482,6:08,hoke,sandy grove middle,best fuzzy score 65 below threshold 85
Swann Middle School,Guilford,0.2158,6:08,guilford,swann middle,best fuzzy score 67 below threshold 85
W A Pattillo Middle,Edgecombe,0.1541,6:08,edgecombe,w a pattillo middle,best fuzzy score 68 below threshold 85
Reaching All Minds Academy,Durham,0.1881,KG:07,durham,reaching all minds academy,best fuzzy score 56 below threshold 85
North East Carolina Prep,Edgecombe,0.205,KG:12,edgecombe,north east carolina prep,best fuzzy score 43 below threshold 85
The Institute Development Young Leaders,Durham,0.3493,KG:08,durham,the institute development young leaders,best fuzzy score 47 below threshold 85
Voyager Academy,Durham,0.0508,KG:12,durham,voyager academy,best fuzzy score 51 below threshold 85
Rogers-Herr Middle,Durham,0.0792,6:08,durham,rogers herr middle,best fuzzy score 74 below threshold 85
Carter Community Charter,Durham,0.1214,KG:08,durham,carter community charter,best fuzzy score 46 below threshold 85
Kestrel Heights School,Durham,0.0576,KG:08,durham,kestrel heights,best fuzzy score 57 below threshold 85
Research Triangle Charter,Durham,0.0735,KG:08,durham,research triangle charter,best fuzzy score 49 below threshold 85
Central Park School For Child,Durham,0.1332,KG:08,durham,central park for child,best fuzzy score 49 below threshold 85
Hanes Magnet School,Forsyth,0.1595,6:08,forsyth,hanes magnet,best fuzzy score 67 below threshold 85
Robert B Glenn High School,Forsyth,0.3607,9:12,forsyth,robert b glenn high,best fuzzy score 85 below threshold 85
Moore Magnet Elementary,Forsyth,0.0597,P2:05,forsyth,moore magnet elementary,best fuzzy score 82 below threshold 85
NC School for the Deaf,Statewide,0.067,PK:12,statewide,nc for the deaf,no transit schools in this county
Davidson Charter Academy: CFA,Davidson,0.1218,KG:04,davidson,davidson charter academy cfa,best fuzzy score 55 below threshold 85
Little River K-8 School,Durham,0.139,P0:08,durham,little river k 8,best fuzzy score 67 below threshold 85
Mountain Island Charter School,Gaston,0.1006,KG:12,gaston,mountain island charter,best fuzzy score 53 below threshold 85
Oxford Preparatory,Granville,0.0599,6:12,granville,oxford preparatory,best fuzzy score 45 below threshold 85
Allen Jay Middle - A Preparatory Academy,Guilford,0.0716,5:08,guilford,allen jay middle a preparatory academy,best fuzzy score 52 below threshold 85
Hawks Nest STEAM Academy,Gaston,0.0549,KG:05,gaston,hawks nest steam academy,best fuzzy score 51 below threshold 85
Granville Academy,Granville,0.1093,PK:12,granville,granville academy,best fuzzy score 62 below threshold 85
Union Cross Traditional Acad,Forsyth,0.17,P2:05,forsyth,union cross traditional academy,best fuzzy score 54 below threshold 85
Carter G Woodson School,Forsyth,0.2131,KG:12,forsyth,carter g woodson,best fuzzy score 59 below threshold 85
Forsyth Academy,Forsyth,0.082,KG:08,forsyth,forsyth academy,best fuzzy score 59 below threshold 85
The Arts Based School,Forsyth,0.0921,KG:08,forsyth,the arts based,best fuzzy score 50 below threshold 85
Appalachian Academy at Middle Fork,Forsyth,0.1666,KG:05,forsyth,appalachian academy at middle fork,best fuzzy score 58 below threshold 85
Ronald W Reagan High School,Forsyth,0.1922,9:12,forsyth,ronald w reagan high,best fuzzy score 71 below threshold 85
Smith Farm Elementary,Forsyth,0.1639,P2:05,forsyth,smith farm elementary,best fuzzy score 81 below threshold 85
W B Beam Intermediate School,Gaston,0.0952,4:05,gaston,w b beam intermediate,best fuzzy score 76 below threshold 85
Stuart W Cramer High,Gaston,0.3313,9:12,gaston,stuart w cramer high,best fuzzy score 49 below threshold 85
Edward D Sadler Jr  Elementary School,Gaston,0.1415,PK:05,gaston,edward d sadler jr elementary,best fuzzy score 74 below threshold 85
Franklinton Middle,Franklin,0.2079,6:08,franklin,franklinton middle,best fuzzy score 76 below threshold 85
Renaissance West STEAM Academy,Mecklenburg,0.1393,PK:08,mecklenburg,renaissance west steam academy,best fuzzy score 66 below threshold 85
Dilworth Elem Sedgefield Campus,Mecklenburg,0.0514,PK:02,mecklenburg,dilworth elementary sedgefield campus,best fuzzy score 72 below threshold 85
Char-Meck Virtual High School,Mecklenburg,0.1659,09:12,mecklenburg,char meck virtual high,best fuzzy score 59 below threshold 85
Olympic High School,Mecklenburg,0.1809,09:12,mecklenburg,olympic high,best fuzzy score 67 below threshold 85
Bruns Avenue Elementary,Mecklenburg,0.1989,PK:05,mecklenburg,bruns avenue elementary,best fuzzy score 73 below threshold 85
Oakhurst STEAM Academy,Mecklenburg,0.0796,0K:05,mecklenburg,oakhurst steam academy,best fuzzy score 70 below threshold 85
Eastside STREAM Academy,Mecklenburg,0.1724,0K:08,mecklenburg,eastside stream academy,best fuzzy score 63 below threshold 85
Aristotle Preparatory Academy: A Challen,Mecklenburg,0.0888,0K:06,mecklenburg,aristotle preparatory academy a challen,best fuzzy score 53 below threshold 85
KIPP Charlotte,Mecklenburg,0.1614,0K:08,mecklenburg,kipp charlotte,best fuzzy score 67 below threshold 85
Charlotte Secondary School,Mecklenburg,0.0802,06:12,mecklenburg,charlotte secondary,best fuzzy score 59 below threshold 85
Invest Collegiate Transform,Mecklenburg,0.096,0K:09,mecklenburg,invest collegiate transform,best fuzzy score 48 below threshold 85
Queen's Grant Community School,Mecklenburg,0.0517,0K:12,mecklenburg,queen s grant community,best fuzzy score 65 below threshold 85
Sugar Creek Charter,Mecklenburg,0.0731,0K:12,mecklenburg,sugar creek charter,best fuzzy score 59 below threshold 85
Charlotte-Mecklenburg Schools,Mecklenburg,0.0948,,mecklenburg,charlotte mecklenburg schools,best fuzzy score 63 below threshold 85
Villa Heights Elementary,Mecklenburg,0.1367,0K:05,mecklenburg,villa heights elementary,best fuzzy score 77 below threshold 85
Zebulon B. Vance High School,Mecklenburg,0.2736,09:12,mecklenburg,zebulon b vance high,best fuzzy score 67 below threshold 85
Starmount Academy of Excellen,Mecklenburg,0.1209,PK:05,mecklenburg,starmount academy of excellen,best fuzzy score 56 below threshold 85
Wilson STEM Academy,Mecklenburg,0.2375,06:08,mecklenburg,wilson stem academy,best fuzzy score 65 below threshold 85
Gov's Village STEM (Lower),Mecklenburg,0.0594,PK:04,mecklenburg,gov s village stem lower,best fuzzy score 51 below threshold 85
Parkside Elementary School,Mecklenburg,0.0641,PK:05,mecklenburg,parkside elementary,best fuzzy score 83 below threshold 85
Lawrence Orr Elementary School,Mecklenburg,0.082,PK:05,mecklenburg,lawrence orr elementary,best fuzzy score 74 below threshold 85
Hawthorne Academy of Health Sciences,Mecklenburg,0.1532,09:12,mecklenburg,hawthorne academy of health sciences,best fuzzy score 56 below threshold 85
First Ward Creative Arts Acad,Mecklenburg,0.0939,0K:05,mecklenburg,first ward creative arts academy,best fuzzy score 64 below threshold 85
Marie G Davis School,Mecklenburg,0.0991,0K:08,mecklenburg,marie g davis,best fuzzy score 56 below threshold 85
Military and Global Leadership,Mecklenburg,0.2824,09:12,mecklenburg,military and global leadership,best fuzzy score 68 below threshold 85
David W Butler High School,Mecklenburg,0.0909,09:12,mecklenburg,david w butler high,best fuzzy score 73 below threshold 85
Coulwood STEM Academy,Mecklenburg,0.1006,06:08,mecklenburg,coulwood stem academy,best fuzzy score 69 below threshold 85
Pioneer Springs Community School,Mecklenburg,0.0911,0K:08,mecklenburg,pioneer springs community,best fuzzy score 60 below threshold 85
Mountain Island Lake Academy,Mecklenburg,0.0788,PK:08,mecklenburg,mountain island lake academy,best fuzzy score 70 below threshold 85
Charlotte-Mecklenburg Academy,Mecklenburg,0.6842,0K:13,mecklenburg,charlotte mecklenburg academy,best fuzzy score 61 below threshold 85
Merry Oaks International Acad,Mecklenburg,0.1117,PK:05,mecklenburg,merry oaks international academy,best fuzzy score 64 below threshold 85
Robert F. Kennedy Middle,Mecklenburg,0.0667,06:08,mecklenburg,robert f kennedy middle,best fuzzy score 76 below threshold 85
Gov's Village STEM (Upper),Mecklenburg,0.0731,05:08,mecklenburg,gov s village stem upper,best fuzzy score 47 below threshold 85
Croft Community School,Mecklenburg,0.0529,PK:05,mecklenburg,croft community,best fuzzy score 73 below threshold 85
Legette Blythe Elementary,Mecklenburg,0.0567,PK:05,mecklenburg,legette blythe elementary,best fuzzy score 81 below threshold 85
"Rocky Mount Preparatory School, Inc.",Nash,0.0515,0K:12,nash,rocky mount preparatory inc,best fuzzy score 60 below threshold 85
Nash County Public Schools,Nash,0.1119,,nash,nash county public schools,best fuzzy score 43 below threshold 85
Girls Leadership Academy of Wilmington,New Hanover,0.1217,06:09,new hanover,girls leadership academy of wilmington,best fuzzy score 60 below threshold 85
Coastal Preparatory Academy: A Challenge,New Hanover,0.0752,0K:08,new hanover,coastal preparatory academy a challenge,best fuzzy score 65 below threshold 85
Douglass Academy,New Hanover,0.0512,0K:05,new hanover,douglass academy,best fuzzy score 63 below threshold 85
New Hanover County Schools,New Hanover,0.0987,,new hanover,new hanover county schools,best fuzzy score 52 below threshold 85
Roland-Grise Middle,New Hanover,0.0739,06:08,new hanover,roland grise middle,best fuzzy score 70 below threshold 85
J.C. Roe Center,New Hanover,0.8,06:12,new hanover,j c roe center,best fuzzy score 49 below threshold 85
Tar River Academy,Nash,0.875,06:12,nash,tar river academy,best fuzzy score 47 below threshold 85
Rocky Mount Middle School,Nash,0.2405,06:08,nash,rocky mount middle,best fuzzy score 76 below threshold 85
Tillery Charter Academy,Montgomery,0.1774,0K:02,montgomery,tillery charter academy,best fuzzy score 60 below threshold 85
Montgomery County Schools,Montgomery,0.0829,,montgomery,montgomery county schools,best fuzzy score 58 below threshold 85
Steele Creek Preparatory Academy,Mecklenburg,0.1316,0K:07,mecklenburg,steele creek preparatory academy,best fuzzy score 62 below threshold 85
Mountain Island Day School,Mecklenburg,0.0636,0K:12,mecklenburg,mountain island day,best fuzzy score 80 below threshold 85
UpROAR Leadership Academy,Mecklenburg,0.344,05:11,mecklenburg,uproar leadership academy,best fuzzy score 60 below threshold 85
Movement Charter School,Mecklenburg,0.1255,0K:05,mecklenburg,movement charter,best fuzzy score 57 below threshold 85
Mallard Creek STEM Academy,Mecklenburg,0.0715,0K:08,mecklenburg,mallard creek stem academy,best fuzzy score 67 below threshold 85
VERITAS Community School: A Challenge Fo,Mecklenburg,0.0833,0K:06,mecklenburg,veritas community a challenge fo,best fuzzy score 52 below threshold 85
Queen City STEM School,Mecklenburg,0.0934,0K:10,mecklenburg,queen city stem,best fuzzy score 49 below threshold 85
Lakeside Charter Academy,Mecklenburg,0.1148,0K:08,mecklenburg,lakeside charter academy,best fuzzy score 68 below threshold 85
Mitchell County Schools,Mitchell,0.0704,,mitchell,mitchell county schools,best fuzzy score 50 below threshold 85
Fairview Elementary School,Nash,0.1061,0K:02,nash,fairview elementary,best fuzzy score 77 below threshold 85
The Academy of Moore County,Moore,0.0515,0K:05,moore,the academy of moore county,best fuzzy score 51 below threshold 85
Vass-Lakeview Elementary School,Moore,0.065,PK:05,moore,vass lakeview elementary,best fuzzy score 81 below threshold 85
Community Learning Center at Pinckney,Moore,0.4555,07:12,moore,community learning center at pinckney,best fuzzy score 53 below threshold 85
Moore County Schools,Moore,0.0689,,moore,moore county schools,best fuzzy score 45 below threshold 85
Briarwood Academy,Mecklenburg,0.1076,PK:05,mecklenburg,briarwood academy,best fuzzy score 67 below threshold 85
Jackson Community School,Jackson,0.4285,0K:12,jackson,jackson community,best fuzzy score 54 below threshold 85
Iredell Charter Academy,Iredell,0.0965,0K:08,iredell,iredell charter academy,best fuzzy score 63 below threshold 85
Langtree Charter Academy,Iredell,0.0635,0K:12,iredell,langtree charter academy,best fuzzy score 62 below threshold 85
Success Institute Charter School,Iredell,0.0588,0K:08,iredell,success institute charter,best fuzzy score 44 below threshold 85
Mooresville Graded School District,Iredell,0.0688,,iredell,mooresville graded district,best fuzzy score 71 below threshold 85
Mooresville High School,Iredell,0.0954,09:12,iredell,mooresville high,best fuzzy score 82 below threshold 85
Iredell-Statesville Schools,Iredell,0.0831,,iredell,iredell statesville schools,best fuzzy score 67 below threshold 85
Third Creek Middle School,Iredell,0.1114,06:08,iredell,third creek middle,best fuzzy score 70 below threshold 85
Jackson County Public Schools,Jackson,0.1056,,jackson,jackson county public schools,best fuzzy score 44 below threshold 85
Summit Charter School,Jackson,0.0775,0K:10,jackson,summit charter,best fuzzy score 38 below threshold 85
Princeton Middle/High,Johnston,0.1281,06:12,johnston,princeton middle high,best fuzzy score 80 below threshold 85
Corinth-Holders Elementary,Johnston,0.0775,PK:05,johnston,corinth holders elementary,best fuzzy score 71 below threshold 85
Cooper Academy,Johnston,0.1047,PK:05,johnston,cooper academy,best fuzzy score 55 below threshold 85
Catamount School,Jackson,0.1694,06:08,jackson,catamount,best fuzzy score 40 below threshold 85
Hertford County Schools,Hertford,0.1826,,hertford,hertford county schools,best fuzzy score 79 below threshold 85
Hertford County Early College High Schoo,Hertford,0.0529,09:13,hertford,hertford county early college high schoo,best fuzzy score 68 below threshold 85
FernLeaf Community Charter School,Henderson,0.1207,0K:06,henderson,fernleaf community charter,best fuzzy score 50 below threshold 85
Henderson County Schools,Henderson,0.0677,,henderson,henderson county schools,best fuzzy score 60 below threshold 85
Henderson County Career Academy,Henderson,0.6846,06:12,henderson,henderson county career academy,best fuzzy score 66 below threshold 85
Northampton County High School,Northampton,0.4113,09:12,northampton,northampton county high,best fuzzy score 82 below threshold 85
Discovery Program at The Springs,Iredell,0.1739,PK:12,iredell,discovery program at the springs,best fuzzy score 49 below threshold 85
Woodland Heights Middle School,Iredell,0.1129,06:08,iredell,woodland heights middle,best fuzzy score 64 below threshold 85
Hoke County Schools,Hoke,0.0912,,hoke,hoke county schools,best fuzzy score 63 below threshold 85
Sandy Grove Middle School,Hoke,0.0823,06:08,hoke,sandy grove middle,best fuzzy score 65 below threshold 85
J W Turlington Alternative,Hoke,0.6438,06:12,hoke,j w turlington alternative,best fuzzy score 70 below threshold 85
Hyde County Schools,Hyde,0.096,,hyde,hyde county schools,best fuzzy score 28 below threshold 85
The Innovation Academy at South Campus,Johnston,0.0748,06:08,johnston,the innovation academy at south campus,best fuzzy score 49 below threshold 85
Madison County Schools,Madison,0.0947,,madison,madison county schools,best fuzzy score 50 below threshold 85
Macon County Schools,Macon,0.0859,,macon,macon county schools,best fuzzy score 57 below threshold 85
West Lake Preparatory Academy,Lincoln,0.0727,0K:06,lincoln,west lake preparatory academy,best fuzzy score 46 below threshold 85
Lincoln County Schools,Lincoln,0.08,,lincoln,lincoln county schools,best fuzzy score 54 below threshold 85
South Creek Elementary,Martin,0.0809,PK:05,martin,south creek elementary,best fuzzy score 70 below threshold 85
Charlotte East Language Academy,Mecklenburg,0.0594,0K:08,mecklenburg,charlotte east language academy,best fuzzy score 68 below threshold 85
McDowell County Schools,McDowell,0.0861,,mcdowell,mcdowell county schools,best fuzzy score 54 below threshold 85
Foothills Community School,McDowell,0.0687,06:08,mcdowell,foothills community,best fuzzy score 50 below threshold 85
West McDowell Middle School,McDowell,0.0745,06:08,mcdowell,west mcdowell middle,best fuzzy score 58 below threshold 85
Norris S Childers Elementary,Lincoln,0.0695,PK:05,lincoln,norris s childers elementary,best fuzzy score 81 below threshold 85
McDowell Academy for Innovation,McDowell,0.101,09:13,mcdowell,mcdowell academy for innovation,best fuzzy score 54 below threshold 85
East McDowell Middle School,McDowell,0.127,06:08,mcdowell,east mcdowell middle,best fuzzy score 58 below threshold 85
Bear Grass Charter School,Martin,0.0847,06:12,martin,bear grass charter,best fuzzy score 44 below threshold 85
Martin County Schools,Martin,0.1034,,martin,martin county schools,best fuzzy score 36 below threshold 85
Riverside Middle,Martin,0.1144,06:08,martin,riverside middle,best fuzzy score 73 below threshold 85
Jones County Schools,Jones,0.1541,,jones,jones county schools,best fuzzy score 49 below threshold 85
Johnston County Public Schools,Johnston,0.0911,,johnston,johnston county public schools,best fuzzy score 50 below threshold 85
Smithfield-Selma High,Johnston,0.2295,09:12,johnston,smithfield selma high,best fuzzy score 73 below threshold 85
Asbury Academy,Lincoln,0.825,06:12,lincoln,asbury academy,best fuzzy score 60 below threshold 85
The Children's Village Academy,Lenoir,0.2556,0K:08,lenoir,the children s village academy,best fuzzy score 44 below threshold 85
Lenoir County Public Schools,Lenoir,0.1165,,lenoir,lenoir county public schools,best fuzzy score 44 below threshold 85
Lenoir County Learning Academy,Lenoir,0.6329,PK:12,lenoir,lenoir county learning academy,best fuzzy score 71 below threshold 85
Ascend Leadership Academy: Lee County,Lee,0.0784,06:09,lee,ascend leadership academy lee county,best fuzzy score 51 below threshold 85
Lee County Schools,Lee,0.0823,,lee,lee county schools,best fuzzy score 61 below threshold 85
Scotland County Schools,Scotland,0.1231,,scotland,scotland county schools,best fuzzy score 56 below threshold 85
Sycamore Lane Elementary,Scotland,0.1192,PK:05,scotland,sycamore lane elementary,best fuzzy score 70 below threshold 85
Wagram Elementary,Scotland,0.115,PK:05,scotland,wagram elementary,best fuzzy score 72 below threshold 85
I. Ellis Johnson Elementary,Scotland,0.1054,PK:05,scotland,i ellis johnson elementary,best fuzzy score 83 below threshold 85
Clinton City Schools,Sampson,0.0503,,sampson,clinton city schools,best fuzzy score 56 below threshold 85
Sampson County Schools,Sampson,0.1014,,sampson,sampson county schools,best fuzzy score 46 below threshold 85
Stanly County Schools,Stanly,0.0911,,stanly,stanly county schools,best fuzzy score 58 below threshold 85
J H Knox Middle School,Rowan,0.1306,06:08,rowan,j h knox middle,best fuzzy score 85 below threshold 85
Jesse C Carson High School,Rowan,0.1489,09:12,rowan,jesse c carson high,best fuzzy score 73 below threshold 85
Elizabeth Hanford Dole Elementary School,Rowan,0.1221,PK:05,rowan,elizabeth hanford dole elementary,best fuzzy score 62 below threshold 85
Harold D Isenberg Elementary,Rowan,0.0997,PK:05,rowan,harold d isenberg elementary,best fuzzy score 81 below threshold 85
Ethan H Shive Elementary School,Rowan,0.1224,PK:05,rowan,ethan h shive elementary,best fuzzy score 80 below threshold 85
Elizabeth Duncan Koontz Elementary Schoo,Rowan,0.1556,PK:05,rowan,elizabeth duncan koontz elementary schoo,best fuzzy score 60 below threshold 85
West Rowan Elementary,Rowan,0.0783,PK:05,rowan,west rowan elementary,best fuzzy score 75 below threshold 85
Rowan-Salisbury Schools,Rowan,0.125,,rowan,rowan salisbury schools,best fuzzy score 54 below threshold 85
Lake Lure Classical Academy,Rutherford,0.0734,0K:12,rutherford,lake lure classical academy,best fuzzy score 39 below threshold 85
Rutherford County Schools,Rutherford,0.1145,,rutherford,rutherford county schools,best fuzzy score 63 below threshold 85
Mt. Vernon-Ruth Elementary School,Rutherford,0.1256,PK:05,rutherford,mt vernon ruth elementary,best fuzzy score 82 below threshold 85
Essie Mae Kiser Foxx Charter School,Rowan,0.055,0K:05,rowan,essie mae kiser foxx charter,best fuzzy score 46 below threshold 85
Stokes County Schools,Stokes,0.0896,,stokes,stokes county schools,best fuzzy score 58 below threshold 85
Vance County Schools,Vance,0.1694,,vance,vance county schools,best fuzzy score 57 below threshold 85
STEM Early High School,Vance,0.0569,06:08,vance,stem early high,best fuzzy score 49 below threshold 85
Vance County High School,Vance,0.3157,09:12,vance,vance county high,best fuzzy score 57 below threshold 85
AdVance Academy,Vance,0.1827,06:12,vance,advance academy,best fuzzy score 51 below threshold 85
Vance County Middle School,Vance,0.2156,06:08,vance,vance county middle,best fuzzy score 54 below threshold 85
Apprentice Academy High School  of North,Union,0.1315,09:12,union,apprentice academy high of north,best fuzzy score 52 below threshold 85
Union Preparatory Academy at Indian Trai,Union,0.052,0K:08,union,union preparatory academy at indian trai,best fuzzy score 48 below threshold 85
Union County Public Schools,Union,0.0505,,union,union county public schools,best fuzzy score 53 below threshold 85
Apex Friendship High,Wake,0.0632,09:12,wake,apex friendship high,best fuzzy score 62 below threshold 85
Oberlin Middle,Wake,0.0577,06:08,wake,oberlin middle,best fuzzy score 71 below threshold 85
Crossroads FLEX,Wake,0.0884,09:12,wake,crossroads flex,best fuzzy score 48 below threshold 85
Connections Academy,Wake,0.5142,06:08,wake,connections academy,best fuzzy score 55 below threshold 85
Beaverdam Elementary School,Wake,0.0793,PK:05,wake,beaverdam elementary,best fuzzy score 83 below threshold 85
Carroll T Overton Elementary School,Rowan,0.1021,0K:05,rowan,carroll t overton elementary,best fuzzy score 78 below threshold 85
Mount Airy City Schools,Surry,0.0798,,surry,mount airy city schools,best fuzzy score 63 below threshold 85
Jones Intermediate,Surry,0.0963,03:05,surry,jones intermediate,best fuzzy score 59 below threshold 85
Bruce H. Tharrington Primary,Surry,0.1028,PK:02,surry,bruce h tharrington primary,best fuzzy score 77 below threshold 85
Surry County Schools,Surry,0.0877,,surry,surry county schools,best fuzzy score 58 below threshold 85
Meadowview Magnet Middle School,Surry,0.0961,06:08,surry,meadowview magnet middle,best fuzzy score 83 below threshold 85
Swain County Schools,Swain,0.1507,,swain,swain county schools,best fuzzy score 76 below threshold 85
Mountain Discovery Charter School,Swain,0.1,0K:08,swain,mountain discovery charter,best fuzzy score 44 below threshold 85
Health Sciences Academy at Monroe Middle,Union,0.1174,06:08,union,health sciences academy at monroe middle,best fuzzy score 49 below threshold 85
Columbia Early College/High School,Tyrrell,0.1371,09:13,tyrrell,columbia early college high,best fuzzy score 65 below threshold 85
Brevard Academy: A Challenge Foundation,Transylvania,0.0626,0K:08,transylvania,brevard academy a challenge foundation,best fuzzy score 46 below threshold 85
Transylvania County Schools,Transylvania,0.0966,,transylvania,transylvania county schools,best fuzzy score 36 below threshold 85
Tyrrell County Schools,Tyrrell,0.0984,,tyrrell,tyrrell county schools,best fuzzy score 55 below threshold 85
Northampton County Schools,Northampton,0.2085,,northampton,northampton county schools,best fuzzy score 64 below threshold 85
Charles C Erwin Middle School,Rowan,0.1279,06:08,rowan,charles c erwin middle,best fuzzy score 71 below threshold 85
Moss Street Partnership School,Rockingham,0.0785,0K:05,rockingham,moss street partnership,best fuzzy score 49 below threshold 85
Pender County Schools,Pender,0.0897,,pender,pender county schools,best fuzzy score 54 below threshold 85
Surf City Middle School,Pender,0.0506,06:08,pender,surf city middle,best fuzzy score 53 below threshold 85
Surf City Elementary School,Pender,0.0553,0K:05,pender,surf city elementary,best fuzzy score 70 below threshold 85
Rocky Point Elementary School,Pender,0.0726,PK:05,pender,rocky point elementary,best fuzzy score 67 below threshold 85
C.F. Pope Elementary,Pender,0.1304,PK:05,pender,c f pope elementary,best fuzzy score 77 below threshold 85
Northeast Academy for Aerospace & Advanc,Pasquotank,0.0686,06:12,pasquotank,northeast academy for aerospace and advanc,best fuzzy score 39 below threshold 85
Elizabeth City-Pasquotank Public Schools,Pasquotank,0.0817,,pasquotank,elizabeth city pasquotank public schools,best fuzzy score 56 below threshold 85
Sheep-Harney Elementary,Pasquotank,0.0891,PK:05,pasquotank,sheep harney elementary,best fuzzy score 76 below threshold 85
Perquimans County Schools,Perquimans,0.0827,,perquimans,perquimans county schools,best fuzzy score 72 below threshold 85
Grifton School,Pitt,0.0585,PK:08,pitt,grifton,best fuzzy score 58 below threshold 85
Person County Schools,Person,0.1002,,person,person county schools,best fuzzy score 44 below threshold 85
Arapahoe Charter School,Pamlico,0.1195,0K:12,pamlico,arapahoe charter,best fuzzy score 33 below threshold 85
Pamlico County Schools,Pamlico,0.0978,,pamlico,pamlico county schools,best fuzzy score 68 below threshold 85
Heritage Elementary School of Richlands,Onslow,0.0784,0K:05,onslow,heritage elementary of richlands,best fuzzy score 77 below threshold 85
Chapel Hill-Carrboro City Schools,Orange,0.0572,,orange,chapel hill carrboro city schools,best fuzzy score 53 below threshold 85
Northside Elementary School,Orange,0.0502,PK:05,orange,northside elementary,best fuzzy score 74 below threshold 85
Orange County Schools,Orange,0.0727,,orange,orange county schools,best fuzzy score 46 below threshold 85
Z.E.C.A. School of Arts and Technology,Onslow,0.1392,0K:08,onslow,z e c a of arts and technology,best fuzzy score 35 below threshold 85
Onslow County Schools,Onslow,0.0929,,onslow,onslow county schools,best fuzzy score 48 below threshold 85
Pactolus School,Pitt,0.0674,PK:08,pitt,pactolus,best fuzzy score 59 below threshold 85
Townsend,Robeson,0.2042,PK:08,robeson,townsend,best fuzzy score 70 below threshold 85
Rex-Rennert Elementary,Robeson,0.0756,PK:05,robeson,rex rennert elementary,best fuzzy score 84 below threshold 85
South Robeson Intermediate School,Robeson,0.1083,05:08,robeson,south robeson intermediate,best fuzzy score 68 below threshold 85
Bethany Community School,Rockingham,0.1144,06:11,rockingham,bethany community,best fuzzy score 69 below threshold 85
Rockingham County Schools,Rockingham,0.143,,rockingham,rockingham county schools,best fuzzy score 72 below threshold 85
CIS Academy,Robeson,0.0504,06:08,robeson,cis academy,best fuzzy score 41 below threshold 85
Public Schools of Robeson County,Robeson,0.1851,,robeson,public schools of robeson county,best fuzzy score 49 below threshold 85
John W Dillard Academy,Rockingham,0.06,0K:05,rockingham,john w dillard academy,best fuzzy score 60 below threshold 85
L Gilbert Carroll,Robeson,0.1639,04:05,robeson,l gilbert carroll,best fuzzy score 83 below threshold 85
Polk County Schools,Polk,0.0639,,polk,polk county schools,best fuzzy score 63 below threshold 85
Polk Central Elementary School,Polk,0.0833,PK:05,polk,polk central elementary,best fuzzy score 69 below threshold 85
Ignite Innovation Academy - Pitt,Pitt,0.1907,0K:08,pitt,ignite innovation academy pitt,best fuzzy score 49 below threshold 85
Pitt County Schools,Pitt,0.0885,,pitt,pitt county schools,best fuzzy score 47 below threshold 85
Stokes School,Pitt,0.0683,PK:08,pitt,stokes,best fuzzy score 52 below threshold 85
Archdale-Trinity Middle School,Randolph,0.084,07:08,randolph,archdale trinity middle,best fuzzy score 67 below threshold 85
Richmond County Schools,Richmond,0.0803,,richmond,richmond county schools,best fuzzy score 64 below threshold 85
Cordova Middle,Richmond,0.0975,06:08,richmond,cordova middle,best fuzzy score 67 below threshold 85
Fairgrove Elementary School,Robeson,0.0858,PK:04,robeson,fairgrove elementary,best fuzzy score 81 below threshold 85
Asheboro City Schools,Randolph,0.0763,,randolph,asheboro city schools,best fuzzy score 65 below threshold 85
Randolph County School System,Randolph,0.0657,,randolph,randolph county system,best fuzzy score 58 below threshold 85
Uwharrie Ridge Six-Twelve,Randolph,0.0737,06:11,randolph,uwharrie ridge six twelve,best fuzzy score 65 below threshold 85
