edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
Chicod,Pitt,0.1026,PK:08,pitt,chicod,best fuzzy score 52 below threshold 85
Grifton,Pitt,0.087,PK:08,pitt,grifton,best fuzzy score 58 below threshold 85
Archdale-Trinity Middle,Randolph,0.1395,7:08,randolph,archdale trinity middle,best fuzzy score 67 below threshold 85
Smith Middle,Orange,0.065,6:08,orange,smith middle,best fuzzy score 62 below threshold 85
Eno River Academy,Orange,0.0596,KG:12,orange,eno river academy,best fuzzy score 61 below threshold 85
Phillips Middle,Orange,0.0668,6:08,orange,phillips middle,best fuzzy score 83 below threshold 85
FPG Elementary,Orange,0.0616,P3:05,orange,fpg elementary,best fuzzy score 73 below threshold 85
Northside Elementary,Orange,0.0776,P3:05,orange,northside elementary,best fuzzy score 74 below threshold 85
Surf City Middle,Pender,0.1384,6:08,pender,surf city middle,best fuzzy score 53 below threshold 85
Surf City Elementary,Pender,0.1379,P3:05,pender,surf city elementary,best fuzzy score 70 below threshold 85
Northeast Academy of Aerospace & AdvTech,Pasquotank,0.1197,7:12,pasquotank,northeast academy of aerospace and advtech,best fuzzy score 39 below threshold 85
Rocky Point Elementary,Pender,0.1117,P2:05,pender,rocky point elementary,best fuzzy score 67 below threshold 85
Military and Global Leadership Academy,Mecklenburg,0.1322,9:12,mecklenburg,military and global leadership academy,best fuzzy score 81 below threshold 85
Marie G Davis,Mecklenburg,0.2028,KG:08,mecklenburg,marie g davis,best fuzzy score 56 below threshold 85
Dilworth Elementary School: Latta Campus,Mecklenburg,0.0739,3:05,mecklenburg,dilworth elementary latta campus,best fuzzy score 75 below threshold 85
Lincoln Charter School,Lincoln,0.0712,KG:12,lincoln,lincoln charter,best fuzzy score 62 below threshold 85
BT Bullock Elementary,Lee,0.108,KG:05,lee,bt bullock elementary,best fuzzy score 80 below threshold 85
Swift Creek Middle,Johnston,0.0917,6:08,johnston,swift creek middle,best fuzzy score 60 below threshold 85
Neuse Charter School,Johnston,0.067,KG:12,johnston,neuse charter,best fuzzy score 44 below threshold 85
Johnston Charter Academy,Johnston,0.0794,KG:07,johnston,johnston charter academy,best fuzzy score 70 below threshold 85
Children's Village Academy,Lenoir,0.4204,KG:08,lenoir,children s village academy,best fuzzy score 44 below threshold 85
Charlotte Teacher Early College,Mecklenburg,0.08,9:11,mecklenburg,charlotte teacher early college,best fuzzy score 57 below threshold 85
Dilworth Elementary School: Sedgefield C,Mecklenburg,0.1075,P3:02,mecklenburg,dilworth elementary sedgefield c,best fuzzy score 79 below threshold 85
Starmount Acad of Excellence,Mecklenburg,0.1957,P3:05,mecklenburg,starmount academy of excellence,best fuzzy score 55 below threshold 85
United Community School,Mecklenburg,0.0735,KG:06,mecklenburg,united community,best fuzzy score 68 below threshold 85
Charlotte Lab School,Mecklenburg,0.0798,KG:07,mecklenburg,charlotte lab,best fuzzy score 63 below threshold 85
"VERITAS Community School, CFA",Mecklenburg,0.1466,KG:06,mecklenburg,veritas community cfa,best fuzzy score 56 below threshold 85
Matthews Charter Academy,Mecklenburg,0.1159,KG:08,mecklenburg,matthews charter academy,best fuzzy score 67 below threshold 85
Unity Classical Charter,Mecklenburg,0.0909,KG:03,mecklenburg,unity classical charter,best fuzzy score 54 below threshold 85
Mountain Island Day Community Charter,Mecklenburg,0.097,KG:11,mecklenburg,mountain island day community charter,best fuzzy score 70 below threshold 85
Metrolina Reg Scholars Academy,Mecklenburg,0.0506,KG:08,mecklenburg,metrolina reg scholars academy,best fuzzy score 59 below threshold 85
Community School of Davidson,Mecklenburg,0.0781,KG:12,mecklenburg,community of davidson,best fuzzy score 56 below threshold 85
Socrates Academy,Mecklenburg,0.0654,KG:08,mecklenburg,socrates academy,best fuzzy score 69 below threshold 85
Charlotte Secondary,Mecklenburg,0.1095,6:12,mecklenburg,charlotte secondary,best fuzzy score 59 below threshold 85
Aristotle Preparatory Academy,Mecklenburg,0.2035,KG:06,mecklenburg,aristotle preparatory academy,best fuzzy score 60 below threshold 85
Charlotte Choice Charter,Mecklenburg,0.3085,KG:08,mecklenburg,charlotte choice charter,best fuzzy score 60 below threshold 85
Bradford Preparatory School,Mecklenburg,0.0517,KG:12,mecklenburg,bradford preparatory,best fuzzy score 50 below threshold 85
Charlotte Learning Academy,Mecklenburg,0.1795,6:12,mecklenburg,charlotte learning academy,best fuzzy score 68 below threshold 85
Corvian Community School,Mecklenburg,0.0691,KG:09,mecklenburg,corvian community,best fuzzy score 62 below threshold 85
Governors Village STEM Academy (Upper),Mecklenburg,0.1239,5:08,mecklenburg,governors village stem academy upper,best fuzzy score 56 below threshold 85
Lawrence Orr Elementary,Mecklenburg,0.1155,P2:05,mecklenburg,lawrence orr elementary,best fuzzy score 74 below threshold 85
Parkside Elementary,Mecklenburg,0.1,P3:05,mecklenburg,parkside elementary,best fuzzy score 83 below threshold 85
Olympic High,Mecklenburg,0.2319,9:12,mecklenburg,olympic high,best fuzzy score 67 below threshold 85
Palisades Park Elementary,Mecklenburg,0.0559,KG:05,mecklenburg,palisades park elementary,best fuzzy score 76 below threshold 85
Charlotte-Mecklenburg Virtual HS,Mecklenburg,0.2041,9:12,mecklenburg,charlotte mecklenburg virtual high,best fuzzy score 69 below threshold 85
Vaughan Academy of Technology,Mecklenburg,0.0671,KG:05,mecklenburg,vaughan academy of technology,best fuzzy score 64 below threshold 85
Merry Oaks International Academy,Mecklenburg,0.1707,PK:05,mecklenburg,merry oaks international academy,best fuzzy score 64 below threshold 85
Lincoln Heights Academy,Mecklenburg,0.8051,KG:13,mecklenburg,lincoln heights academy,best fuzzy score 63 below threshold 85
Governors Village STEM Academy (Lower),Mecklenburg,0.1507,KG:04,mecklenburg,governors village stem academy lower,best fuzzy score 56 below threshold 85
Moore Square Middle,Wake,0.1341,6:08,wake,moore square middle,best fuzzy score 73 below threshold 85
North Wake College and Career Academy,Wake,0.0717,9:12,wake,north wake college and career academy,best fuzzy score 56 below threshold 85
Pine Hollow Middle,Wake,0.0738,6:08,wake,pine hollow middle,best fuzzy score 78 below threshold 85
