trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,224,5,13:05:00,13:05:00,0,3335.12
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,224,5,12:05:00,12:05:00,0,3335.12
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,225,6,14:06:00,14:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,225,6,16:06:00,16:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,225,6,10:06:00,10:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,225,6,15:06:00,15:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,225,6,09:06:00,09:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,225,6,17:06:00,17:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,225,6,11:06:00,11:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,225,6,13:06:00,13:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,225,6,12:06:00,12:06:00,0,3726.07
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,226,7,16:06:00,16:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,226,7,14:06:00,14:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,226,7,10:06:00,10:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,226,7,15:06:00,15:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,226,7,09:06:00,09:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,226,7,17:06:00,17:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,226,7,11:06:00,11:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,226,7,13:06:00,13:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,226,7,12:06:00,12:06:00,0,3938.09
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,242,8,16:07:00,16:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,242,8,14:07:00,14:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,242,8,10:07:00,10:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,242,8,15:07:00,15:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,242,8,09:07:00,09:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,242,8,17:07:00,17:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,242,8,11:07:00,11:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,242,8,13:07:00,13:07:00,0,4384.69
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,242,8,12:07:00,12:07:00,0,4384.69
