service_id,date,exception_type
69710,20180903,2
69710,20181112,2
69710,20181122,2
69710,20181123,2
69710,20181224,2
69710,20181225,2
69710,20190101,2
69710,20190121,2
69710,20190419,2
69710,20190527,2
69710,20190704,2
69710,20190902,2
69710,20191111,2
69710,20191128,2
69710,20191129,2
69710,20191224,2
69710,20191225,2
69710,20200101,2
69710,20200120,2
69710,20200410,2
69710,20200525,2
69710,20200704,2
69710,20200907,2
69710,20201111,2
69710,20201126,2
69710,20201127,2
69710,20201224,2
69710,20201225,2
