stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"131","Horn Ave","36.210575103759766","-81.66791534423828","77",,,,"0","",,
"132","Horn in the West Parking Lot","36.20990753173828","-81.66941833496094","79",,,,"0","",,
"130","Ivy Terrace","36.20642852783203","-81.6623764038086","85",,,,"0","",,
"129","Hardin Street Crosswalk","36.21389389038086","-81.67520904541016","68",,,,"0","",,
"128","Feids Way","36.21586227416992","-81.68846130371094","147",,,,"0","",,
"127","ASU Child Development Center","36.21760940551758","-81.69157409667969","146",,,,"0","",,
"6","The Finmore","36.20286178588867","-81.66133117675781","3",,,,"0","",,
"5","ASU State Farm Lot / Greenway","36.20598220825195","-81.65555572509766","25",,,,"0","",,
"7","Postal St / Blowing Rock Rd","36.200992584228516","-81.66154479980469","119",,,,"0","",,
"8","Watauga Medical Center","36.198394775390625","-81.65241241455078","137",,,,"0","",,
"10","Parks & Rec","36.202579498291016","-81.65420532226562","6",,,,"0","",,
"11","610 State Farm Rd","36.204978942871094","-81.65998077392578","1",,,,"0","",,
"12","App South PSI","36.208858489990234","-81.67432403564453","2",,,,"0","",,
"14","ASU Mountain Laurel Hall","36.206146240234375","-81.67009735107422","8",,,,"0","",,
"15","ASU Appalachian Heights","36.21458053588867","-81.6890869140625","7",,,,"0","",,
"17","ASU SRC","36.216331481933594","-81.68562316894531","24",,,,"0","",,
"18","ASU Living Learning Center (Up)","36.216400146484375","-81.68766784667969","15",,,,"0","",,
"19","Top of Bodenheimer (Up)","36.214881896972656","-81.69300842285156","126",,,,"0","",,
"126","White Oak Road","36.21564483642578","-81.71404266357422","141",,,,"0","",,
"124","Forest Edge","36.20724105834961","-81.7012710571289","57",,,,"0","",,
"123","Heritage Court on NC 105","36.204673767089844","-81.69230651855469","69",,,,"0","",,
"122","Poplar Hill Dr","36.202545166015625","-81.68556213378906","118",,,,"0","",,
"120","George Wilson Rd / Vet Hospital 2","36.22740936279297","-81.71490478515625","60",,,,"0","",,
"119","Graggville Rd","36.22334289550781","-81.70647430419922","62",,,,"0","",,
"118","Highland Hall Rd","36.222938537597656","-81.7044677734375","74",,,,"0","",,
"117","Old Waterloo","36.22258758544922","-81.70258331298828","113",,,,"0","",,
"116","Edgecliff Ln","36.22190475463867","-81.69938659667969","56",,,,"0","",,
