trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
9582073,47494,69747,,,0,1,,,,
9582074,47494,69747,,,0,1,,,,
9582075,47494,69747,,,0,1,,,,
9582076,47494,69747,,,0,1,,,,
9582077,47494,69747,,,0,1,,,,
9582078,47494,69747,,,0,1,,,,
9582079,47494,69747,,,0,1,,,,
9582080,47494,69747,,,0,1,,,,
9582081,47494,69747,,,0,1,,,,
9582082,47494,72835,,0900,0,1,,,,
9582083,47494,72835,,1000,0,1,,,,
9582084,47494,72835,,1100,0,1,,,,
9582085,47494,72835,,1200,0,1,,,,
9582086,47494,72835,,1300,0,1,,,,
9582087,47494,72835,,1400,0,1,,,,
