shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7407440477321,-78.8944858035832,102,7519.69
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7376327626225,-78.8888422794494,103,8632.84
45432d3b-3193-4a6f-b5db-f839a623be9d,35.7406264903142,-78.8944002707434,14,1384.98
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.7681433006494,-78.8079236277249,25,7322.52
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7375445574109,-78.8422224922496,24,1047.9
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7902473875508,-78.7795687952551,60,4388.89
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7878242764604,-78.774685627213,36,3298.6
e40053ad-def2-4cbe-8fab-e0f3823d9404,35.80512,-78.783057,15,3306.77
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.743802,-78.871002,34,3961.6
833ae665-e798-4b8c-9e7a-a8ac2824b5d8,35.759606,-78.742683,32,5654.2
556f83a6-e9e0-452c-befd-29666986fc51,35.8185888771131,-78.7716404220025,11,3792.81
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7593791338654,-78.7343992656246,39,8520.77
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7427800440572,-78.8911446421222,99,7142.2
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7448827397039,-78.8731811873776,57,4826.5
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.727216,-78.854493,43,6378.23
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.786402,-78.78117,13,864.64
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.726105,-78.851297,44,6691.86
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7469992859739,-78.8853190272684,73,6013.96
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.7677408662468,-78.7431597701202,27,5187.47
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7355652354673,-78.8478285199414,24,944.3
cda69c6f-f4fc-421f-992a-fd15d068f3e3,35.7955465127423,-78.7045142952005,2,234.85
833ae665-e798-4b8c-9e7a-a8ac2824b5d8,35.7518448737608,-78.7319756936666,18,2530.22
db8d744b-4628-47cb-b687-a85ba94d94c0,35.7882717721624,-78.7822528947742,30,6498.61
4d11f69f-5fbd-45ef-bd60-b93636979a14,35.828789,-78.790404,47,9577.47
fd071892-7070-4975-9a48-6bc0e821fbf5,35.783476,-78.796918,8,1796.62
4d11f69f-5fbd-45ef-bd60-b93636979a14,35.796638,-78.793505,6,1558.87
2cd7a5bf-656e-4b76-9a1e-6f5f52469995,35.7883184932504,-78.7811969643783,46,8790.05
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.775356,-78.767706,11,2185.97
db8d744b-4628-47cb-b687-a85ba94d94c0,35.735432,-78.782017,0,0
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7474804377874,-78.8821492074211,84,6099.71
3d55eee4-8654-44f4-ae2e-b905e511a090,35.79138,-78.84774,35,6720.71
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.716528,-78.857636,63,9896.66
45432d3b-3193-4a6f-b5db-f839a623be9d,35.720186,-78.855802,80,10353.48
833ae665-e798-4b8c-9e7a-a8ac2824b5d8,35.7575758012628,-78.7414345590054,31,5402.08
833ae665-e798-4b8c-9e7a-a8ac2824b5d8,35.788346243483,-78.7812711882629,58,12122.33
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7376818490119,-78.8892151998233,126,9087.65
45432d3b-3193-4a6f-b5db-f839a623be9d,35.720795,-78.843994,60,7609.08
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7577995000788,-78.7417411777286,27,6706.6
9018b8b5-5108-4b52-bd20-e1a97d054993,35.8298373936253,-78.7957221945817,14,2908.35
833ae665-e798-4b8c-9e7a-a8ac2824b5d8,35.7612615380681,-78.7419443934805,24,4262.33
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7449689601653,-78.8729138944606,56,4800.56
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.783762318313,-78.7219282402589,46,7978.7
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7378768307599,-78.8892151998233,123,9062.28
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7902167157201,-78.7720279738091,41,3661.76
a158cbe7-49b9-4b9b-9187-ad5767819f6c,35.7586759882521,-78.8317858348189,16,4547.36
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7450663057353,-78.8721394303681,53,4718.91
fd071892-7070-4975-9a48-6bc0e821fbf5,35.786801,-78.788407,4,812.86
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7473385956477,-78.8792603878196,65,5451.87
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7878217664547,-78.7749450001081,83,5824.62
fa703f36-39be-4426-9648-316d4048009e,35.77256,-78.781881,12,1884.38
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.767313,-78.746295,24,4895.8
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7378045648531,-78.8890035423138,105,8659.16
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.7758342552967,-78.7325379504556,38,6609.07
4d11f69f-5fbd-45ef-bd60-b93636979a14,35.809984,-78.816208,25,5522.08
4d11f69f-5fbd-45ef-bd60-b93636979a14,35.830585,-78.767551,60,11931.87
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7333562634896,-78.847086230795,13,314.54
fd071892-7070-4975-9a48-6bc0e821fbf5,35.7415111650679,-78.8493578543804,33,9426.56
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.777219,-78.804107,31,8424.62
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.783962,-78.78132,2,522.98
45432d3b-3193-4a6f-b5db-f839a623be9d,35.728588,-78.857491,52,6065.84
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7901728987987,-78.7768733297093,52,4142.4
db8d744b-4628-47cb-b687-a85ba94d94c0,35.771626,-78.7816,20,4470.17
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.738837,-78.865363,48,3795
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7614302964908,-78.7445945171524,26,6228.09
9018b8b5-5108-4b52-bd20-e1a97d054993,35.793596,-78.789785,59,10931.37
833ae665-e798-4b8c-9e7a-a8ac2824b5d8,35.7451088488497,-78.7380183464224,13,1559.62
cda69c6f-f4fc-421f-992a-fd15d068f3e3,35.7911967437584,-78.7427507077392,22,5400.17
fd071892-7070-4975-9a48-6bc0e821fbf5,35.7337545295808,-78.8497694641214,38,10307.78
560b17f8-9f95-4019-b51a-1e728c18a6c9,35.7864431076406,-78.8248945977573,30,4977.99
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.784583,-78.778677,0,0
45432d3b-3193-4a6f-b5db-f839a623be9d,35.745468,-78.874547,37,3540.26
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7334657488979,-78.8470433154121,9,214.26
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7830714368673,-78.7805188380784,8,443.13
45432d3b-3193-4a6f-b5db-f839a623be9d,35.7464677285469,-78.8874964737693,21,2299.06
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.7882717721624,-78.7822528947742,44,11310.59
a158cbe7-49b9-4b9b-9187-ad5767819f6c,35.7620727871895,-78.8217456210675,22,5895.6
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7902298607919,-78.7778024280537,55,4227.32
4d11f69f-5fbd-45ef-bd60-b93636979a14,35.8313457397016,-78.77954738551,51,10610.19
fa703f36-39be-4426-9648-316d4048009e,35.7765968946763,-78.7816885148518,9,1433.74
3d55eee4-8654-44f4-ae2e-b905e511a090,35.788951,-78.863152,39,8152.99
a158cbe7-49b9-4b9b-9187-ad5767819f6c,35.732839,-78.845471,0,0
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.735507429377,-78.8565841591261,53,3213.4
b3b170dc-c162-4f32-80b2-fa0a9e39fee2,35.801496,-78.783133,37,9755.4
9018b8b5-5108-4b52-bd20-e1a97d054993,35.830585,-78.767551,0,0
db8d744b-4628-47cb-b687-a85ba94d94c0,35.7801359908699,-78.7804542151089,23,5442.93
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.737724117823,-78.8889985028492,104,8650.21
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7332799553888,-78.8466816000417,6,173.79
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7913822369615,-78.7809300323644,65,4684.36
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7874956390681,-78.7784776448748,86,6146.5
b3b170dc-c162-4f32-80b2-fa0a9e39fee2,35.7964347949994,-78.75850408858,27,6962.66
3d55eee4-8654-44f4-ae2e-b905e511a090,35.790056,-78.850962,36,7046.27
9018b8b5-5108-4b52-bd20-e1a97d054993,35.826895,-78.805357,22,3898.79
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7468742879358,-78.7455642484975,54,11214.4
fd071892-7070-4975-9a48-6bc0e821fbf5,35.7543538960429,-78.8381742738589,28,7124.74
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7288867359464,-78.8577786008828,36,2479.28
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7377254813327,-78.88926727429,109,8700.78
45432d3b-3193-4a6f-b5db-f839a623be9d,35.729231956313,-78.8479195501963,97,12758.36
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7373423341993,-78.8885953456882,117,8972.66
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7471216601213,-78.8851648198163,72,5994.51
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.7900266897801,-78.7723734546966,79,5485.87
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7362916794912,-78.8523974609774,50,2825.74
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.738116,-78.842433,4,678.96
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7473052209897,-78.8843835020594,85,6302.15
b3b170dc-c162-4f32-80b2-fa0a9e39fee2,35.799879,-78.737714,16,4084.94
005c5c51-3198-4ce1-8c26-bb7c7f39ea2f,35.7904412000862,-78.7401259757265,20,6105.45
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7353266614115,-78.8585062030388,55,3387.94
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7548098753416,-78.7304395292813,44,9158.69
2cd7a5bf-656e-4b76-9a1e-6f5f52469995,35.766408,-78.756256,32,5196.77
9018b8b5-5108-4b52-bd20-e1a97d054993,35.8228258734149,-78.8071937382238,25,4406.32
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.770067,-78.761534,14,3010.87
9018b8b5-5108-4b52-bd20-e1a97d054993,35.8270692923017,-78.8003368036312,18,3438.77
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7325866902635,-78.8503523717174,30,1420.29
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7609703083467,-78.7417613804641,34,7797.22
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.7378084401002,-78.8422049193339,25,1077.27
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.7873483737628,-78.781218107247,42,11106.98
fa703f36-39be-4426-9648-316d4048009e,35.783962,-78.78132,2,528.19
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.732839,-78.845471,0,0
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.746069,-78.737807,50,10375.87
560b17f8-9f95-4019-b51a-1e728c18a6c9,35.7841231366566,-78.7955451560436,44,7742.78
a158cbe7-49b9-4b9b-9187-ad5767819f6c,35.7704696521032,-78.8076187560006,26,7582.48
45432d3b-3193-4a6f-b5db-f839a623be9d,35.732603590398,-78.8456527902824,102,13220.15
cda69c6f-f4fc-421f-992a-fd15d068f3e3,35.7957421881071,-78.7032676675224,3,349.29
560b17f8-9f95-4019-b51a-1e728c18a6c9,35.788188623678,-78.7818049658421,61,9419.64
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.783346,-78.798719,34,9307.19
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.766941,-78.75754,15,3511.2
e40053ad-def2-4cbe-8fab-e0f3823d9404,35.829156,-78.769337,2,251.26
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7474887814349,-78.8796853150209,66,5493.67
db8d744b-4628-47cb-b687-a85ba94d94c0,35.786402,-78.78117,28,6191.81
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.7725178165744,-78.7373138211556,33,6032.64
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.7471494724013,-78.8850517343515,71,5983.85
a0bb8371-1cb3-4a17-8052-8e76775dc1d3,35.784326,-78.792219,38,10000.36
a158cbe7-49b9-4b9b-9187-ad5767819f6c,35.783346,-78.798719,34,9307.19
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.7672200527595,-78.7454562512744,25,4972.13
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.738028,-78.895671,7,1024.09
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.7756336664782,-78.7685042686559,10,2107.67
b3b170dc-c162-4f32-80b2-fa0a9e39fee2,35.79511,-78.751398,23,6292.67
fd071892-7070-4975-9a48-6bc0e821fbf5,35.747797,-78.851992,31,8688.77
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.736773356007,-78.8894929819997,113,8851.17
fd071892-7070-4975-9a48-6bc0e821fbf5,35.7882914438847,-78.7812050520828,1,55.27
45432d3b-3193-4a6f-b5db-f839a623be9d,35.7296961803112,-78.8492544596871,95,12625.42
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.745216,-78.888646,14,2126.46
2e2b1f5e-8c30-4972-ac42-0dc085fa20b5,35.7434253868769,-78.8900383694183,11,1890.26
732cf6b5-6601-400b-9d7b-edd5bf32e7d1,35.786534448384,-78.7904985125156,22,1809.88
6e52eb86-fc1f-4ee2-8ba1-46755a74842f,35.747185628351,-78.8789588265801,80,5802.06
ad6cf4f3-9148-47f3-b22a-d6f3ead3c348,35.7713054536747,-78.7389329135036,32,5834
db8d744b-4628-47cb-b687-a85ba94d94c0,35.754888,-78.782664,12,2586.56
170a315b-7e87-4fb7-a5f1-16b359de1a70,35.736275,-78.896151,89,7712.44
45432d3b-3193-4a6f-b5db-f839a623be9d,35.7425373359126,-78.8913308128083,16,1734.83
39a6d8b3-53d9-437c-8834-40ddfa51e88f,35.7873173480647,-78.7811578373218,2,154.45
